dataset,policy,lambda_ref,stratum,eval_n,marg_risk_mean,marg_risk_sd,mond_cert_rate,mond_abstain_rate,jointmond_cert_rate,jointmond_abstain_rate,R_full,R_full_lcb95,R_full_ucb95,verdict
mnist,eps_greedy_eps0.25,0.5,0,5274,0.15569366,0.0062668949109108245,1.0,0.0,1.0,0.0,0.078309,0.072303,0.084663,feasible
mnist,eps_greedy_eps0.25,0.5,1,2635,0.15454885000000002,0.00884384633332692,1.0,0.0,1.0,0.0,0.074004,0.06578,0.082938,feasible
mnist,eps_greedy_eps0.25,0.5,2,7069,0.13757681,0.006238221415908544,1.0,0.0,1.0,0.0,0.071722,0.066734,0.076972,feasible
mnist,eps_greedy_eps0.25,0.5,3,4871,0.12991818000000002,0.00721082259576534,1.0,0.0,1.0,0.0,0.077807,0.07158,0.084413,feasible
mnist,eps_greedy_eps0.25,0.5,4,5351,0.1407333,0.006266988448210192,1.0,0.0,0.99,0.01,0.123155,0.115825,0.13079,feasible
mnist,eps_greedy_eps0.25,0.7,0,4119,0.13973333,0.006307005083325999,1.0,0.0,1.0,0.0,0.061908,0.055842,0.06844,feasible
mnist,eps_greedy_eps0.25,0.7,1,5868,0.14648782000000002,0.006887350000370245,1.0,0.0,1.0,0.0,0.059305,0.054311,0.064626,feasible
mnist,eps_greedy_eps0.25,0.7,2,5429,0.1253196,0.0073516699205010555,1.0,0.0,1.0,0.0,0.064469,0.059068,0.070219,feasible
mnist,eps_greedy_eps0.25,0.7,3,4358,0.11568844,0.0070514912271377045,1.0,0.0,1.0,0.0,0.074575,0.068128,0.08145,feasible
mnist,eps_greedy_eps0.25,0.7,4,5426,0.17818079999999994,0.006436346581718547,0.0,1.0,0.0,1.0,0.161261,0.153092,0.1697,infeasible
mnist,eps_greedy_eps0.25,0.9,0,4739,0.07861831000000001,0.0038293064089858363,1.0,0.0,1.0,0.0,0.039671,0.035113,0.044655,feasible
mnist,eps_greedy_eps0.25,0.9,1,5551,0.07686168,0.0034875417356069016,1.0,0.0,1.0,0.0,0.033868,0.029967,0.038138,feasible
mnist,eps_greedy_eps0.25,0.9,2,5281,0.08761452000000002,0.0051206433159906774,1.0,0.0,1.0,0.0,0.039576,0.035258,0.044276,feasible
mnist,eps_greedy_eps0.25,0.9,3,3934,0.10849613,0.009334684420648618,1.0,0.0,1.0,0.0,0.032028,0.027544,0.037039,feasible
mnist,eps_greedy_eps0.25,0.9,4,5695,0.333643,0.012015843529274171,0.0,1.0,0.0,1.0,0.253205,0.243734,0.262863,infeasible
mnist,eps_greedy_eps0.5,0.5,0,4999,0.15467061,0.006742852479322086,1.0,0.0,1.0,0.0,0.074215,0.068202,0.080599,feasible
mnist,eps_greedy_eps0.5,0.5,1,4587,0.13965239000000002,0.006715926564361764,1.0,0.0,1.0,0.0,0.066274,0.06033,0.072632,feasible
mnist,eps_greedy_eps0.5,0.5,2,4349,0.1424546,0.006866123692448309,1.0,0.0,1.0,0.0,0.07588,0.069372,0.082813,feasible
mnist,eps_greedy_eps0.5,0.5,3,5053,0.12357633,0.006456631257947134,1.0,0.0,1.0,0.0,0.075797,0.069756,0.082203,feasible
mnist,eps_greedy_eps0.5,0.5,4,6212,0.14738368999999998,0.005667412680747715,1.0,0.0,0.99,0.01,0.123149,0.116342,0.130218,feasible
mnist,eps_greedy_eps0.5,0.7,0,4652,0.14246988,0.007008868015992311,1.0,0.0,1.0,0.0,0.05761,0.05209,0.063545,feasible
mnist,eps_greedy_eps0.5,0.7,1,4288,0.13793282999999998,0.007060373463287903,1.0,0.0,1.0,0.0,0.057836,0.05208,0.064043,feasible
mnist,eps_greedy_eps0.5,0.7,2,5425,0.12829664999999998,0.0066815951933277135,1.0,0.0,1.0,0.0,0.060645,0.055399,0.066245,feasible
mnist,eps_greedy_eps0.5,0.7,3,5813,0.11850613999999998,0.005731666073699689,1.0,0.0,1.0,0.0,0.0738,0.068233,0.079687,feasible
mnist,eps_greedy_eps0.5,0.7,4,5022,0.18610488000000003,0.006532689517005994,0.0,1.0,0.0,1.0,0.17503,0.166252,0.184089,infeasible
mnist,eps_greedy_eps0.5,0.9,0,4779,0.06728183,0.003714544281752473,1.0,0.0,1.0,0.0,0.031387,0.027348,0.035859,feasible
mnist,eps_greedy_eps0.5,0.9,1,5362,0.05957101999999999,0.0036871757294167575,1.0,0.0,1.0,0.0,0.02555,0.022105,0.029386,feasible
mnist,eps_greedy_eps0.5,0.9,2,4874,0.06777177999999999,0.0045427930165923254,1.0,0.0,1.0,0.0,0.030776,0.026814,0.035162,feasible
mnist,eps_greedy_eps0.5,0.9,3,4174,0.11917507000000001,0.008194134767325957,1.0,0.0,1.0,0.0,0.031864,0.027517,0.036706,feasible
mnist,eps_greedy_eps0.5,0.9,4,6011,0.35019128999999993,0.01028271495792332,0.0,1.0,0.0,1.0,0.263351,0.254009,0.272862,infeasible
mnist,greedy_entropy,0.5,0,4304,0.14695906,0.0063632387489705265,1.0,0.0,1.0,0.0,0.071329,0.064977,0.078116,feasible
mnist,greedy_entropy,0.5,1,3160,0.16660007,0.007943426048318197,1.0,0.0,1.0,0.0,0.084494,0.076485,0.093078,feasible
mnist,greedy_entropy,0.5,2,5393,0.14565438,0.007176209929733104,1.0,0.0,1.0,0.0,0.070647,0.064988,0.076653,feasible
mnist,greedy_entropy,0.5,3,5903,0.12424484999999999,0.0054038515178990625,1.0,0.0,1.0,0.0,0.076063,0.070459,0.08198,feasible
mnist,greedy_entropy,0.5,4,6440,0.13758763,0.005350295546331997,1.0,0.0,1.0,0.0,0.116304,0.109785,0.123082,feasible
mnist,greedy_entropy,0.7,0,4222,0.13884912,0.005099113599989708,1.0,0.0,1.0,0.0,0.066082,0.059899,0.072715,feasible
mnist,greedy_entropy,0.7,1,6238,0.15243652999999996,0.0073301461301327414,1.0,0.0,1.0,0.0,0.063161,0.058167,0.068461,feasible
mnist,greedy_entropy,0.7,2,4076,0.13172057000000004,0.006917426633156293,1.0,0.0,1.0,0.0,0.069921,0.063459,0.076846,feasible
mnist,greedy_entropy,0.7,3,5288,0.1195888,0.005968859696793015,1.0,0.0,1.0,0.0,0.078669,0.072658,0.085027,feasible
mnist,greedy_entropy,0.7,4,5376,0.15948433,0.005945566380177756,0.08,0.92,0.01,0.99,0.144903,0.137057,0.153036,undetermined
mnist,greedy_entropy,0.9,0,4906,0.09194439999999998,0.003853789480498384,1.0,0.0,1.0,0.0,0.044435,0.039697,0.049582,feasible
mnist,greedy_entropy,0.9,1,5152,0.11286680000000002,0.004455195483926603,1.0,0.0,1.0,0.0,0.045031,0.040374,0.050075,feasible
mnist,greedy_entropy,0.9,2,5490,0.09516937,0.004488092317800515,1.0,0.0,1.0,0.0,0.039162,0.034947,0.043745,feasible
mnist,greedy_entropy,0.9,3,4173,0.08713430999999999,0.00898429911534005,1.0,0.0,1.0,0.0,0.031153,0.026854,0.035947,feasible
mnist,greedy_entropy,0.9,4,5479,0.30053916,0.010421730201574017,0.0,1.0,0.0,1.0,0.247855,0.23827,0.257639,infeasible
mnist,greedy_entropy,0.5,0,3145,0.18008947,0.007932183820934812,1.0,0.0,1.0,0.0,0.097297,0.088726,0.106429,feasible
mnist,greedy_entropy,0.5,1,6540,0.17428551999999997,0.007208294196937305,1.0,0.0,1.0,0.0,0.099847,0.093806,0.106154,feasible
mnist,greedy_entropy,0.5,2,2846,0.1729202,0.008323294266094405,1.0,0.0,1.0,0.0,0.100141,0.091017,0.109879,feasible
mnist,greedy_entropy,0.5,3,4578,0.18651146000000002,0.00856709840076557,1.0,0.0,1.0,0.0,0.107252,0.099807,0.11507,feasible
mnist,greedy_entropy,0.5,4,8091,0.21739578,0.006802575111794063,1.0,0.0,1.0,0.0,0.168088,0.161277,0.175076,feasible
mnist,greedy_entropy,0.7,0,3692,0.15601192,0.007033056657926196,1.0,0.0,1.0,0.0,0.086674,0.079166,0.094671,feasible
mnist,greedy_entropy,0.7,1,3515,0.18458487,0.007022486064998634,1.0,0.0,1.0,0.0,0.104979,0.096578,0.11387,feasible
mnist,greedy_entropy,0.7,2,5956,0.17277663999999998,0.009353848529370145,1.0,0.0,1.0,0.0,0.074715,0.069182,0.080558,feasible
mnist,greedy_entropy,0.7,3,4542,0.17661391,0.007832949821229547,1.0,0.0,1.0,0.0,0.108983,0.101455,0.116885,feasible
mnist,greedy_entropy,0.7,4,7495,0.23417631000000003,0.005857034937056463,0.04,0.96,0.0,1.0,0.195597,0.188082,0.203287,undetermined
mnist,greedy_entropy,0.9,0,3301,0.09805808,0.005522102164357338,1.0,0.0,1.0,0.0,0.059376,0.05275,0.066588,feasible
mnist,greedy_entropy,0.9,1,3875,0.10287048,0.005369389446631711,1.0,0.0,1.0,0.0,0.054452,0.048578,0.06083,feasible
mnist,greedy_entropy,0.9,2,5092,0.1315587,0.006155680640676546,1.0,0.0,1.0,0.0,0.05813,0.052827,0.063813,feasible
mnist,greedy_entropy,0.9,3,5134,0.16730267999999998,0.009306880734037588,1.0,0.0,1.0,0.0,0.06233,0.056868,0.068164,feasible
mnist,greedy_entropy,0.9,4,7798,0.32819575,0.010165459586634538,0.0,1.0,0.0,1.0,0.265709,0.257483,0.274065,infeasible
mnist,greedy_entropy,0.5,0,4098,0.18704063999999998,0.010879032672549522,1.0,0.0,1.0,0.0,0.091996,0.084665,0.099762,feasible
mnist,greedy_entropy,0.5,1,2960,0.12412440000000002,0.006200982444742123,1.0,0.0,1.0,0.0,0.0875,0.079093,0.096517,feasible
mnist,greedy_entropy,0.5,2,5887,0.11895486,0.004937002205833008,1.0,0.0,1.0,0.0,0.084763,0.07886,0.090973,feasible
mnist,greedy_entropy,0.5,3,6472,0.12464866000000002,0.0046886929164107125,1.0,0.0,1.0,0.0,0.103059,0.096899,0.109486,feasible
mnist,greedy_entropy,0.5,4,5783,0.14510564,0.004593871860468031,0.9,0.1,0.64,0.36,0.133149,0.125852,0.140721,feasible
mnist,greedy_entropy,0.7,0,3022,0.18727191,0.011119881035420297,1.0,0.0,1.0,0.0,0.088021,0.079676,0.096963,feasible
mnist,greedy_entropy,0.7,1,5459,0.12373280000000002,0.0066371728936347575,1.0,0.0,1.0,0.0,0.074739,0.068962,0.080855,feasible
mnist,greedy_entropy,0.7,2,5352,0.11071729000000001,0.004595055634690401,1.0,0.0,1.0,0.0,0.078849,0.072867,0.085174,feasible
mnist,greedy_entropy,0.7,3,5813,0.11764572,0.004762857841842438,1.0,0.0,1.0,0.0,0.098916,0.092539,0.105593,feasible
mnist,greedy_entropy,0.7,4,5554,0.17308828,0.005388117157375106,0.0,1.0,0.0,1.0,0.162225,0.154131,0.170583,infeasible
mnist,greedy_entropy,0.9,0,4400,0.14501863,0.007985570511434984,1.0,0.0,1.0,0.0,0.061364,0.055516,0.067648,feasible
mnist,greedy_entropy,0.9,1,6672,0.10714695,0.006084583225455955,1.0,0.0,1.0,0.0,0.063399,0.058559,0.068524,feasible
mnist,greedy_entropy,0.9,2,5047,0.09412112,0.004995751169303771,1.0,0.0,1.0,0.0,0.055677,0.05046,0.061278,feasible
mnist,greedy_entropy,0.9,3,3888,0.06623686999999999,0.005038824421737673,1.0,0.0,1.0,0.0,0.052984,0.047197,0.059275,feasible
mnist,greedy_entropy,0.9,4,5193,0.26830925000000005,0.005827010913624583,0.0,1.0,0.0,1.0,0.268053,0.257945,0.278355,infeasible
mnist,random,0.5,0,4022,0.14470109000000003,0.007501307492824168,1.0,0.0,1.0,0.0,0.062655,0.056483,0.069304,feasible
mnist,random,0.5,1,4584,0.12509906999999998,0.007225741302115653,1.0,0.0,1.0,0.0,0.057373,0.051825,0.063345,feasible
mnist,random,0.5,2,6200,0.13173904,0.005792882177154996,1.0,0.0,1.0,0.0,0.075323,0.069878,0.081066,feasible
mnist,random,0.5,3,4531,0.13696317,0.006371515560767313,1.0,0.0,1.0,0.0,0.08497,0.078246,0.092094,feasible
mnist,random,0.5,4,5863,0.16686954999999998,0.0056337947803855965,0.77,0.23,0.46,0.54,0.134061,0.126792,0.1416,feasible
mnist,random,0.7,0,4893,0.12480320999999997,0.006752303549596983,1.0,0.0,1.0,0.0,0.038013,0.03362,0.042822,feasible
mnist,random,0.7,1,4212,0.11637651,0.006927143832049397,1.0,0.0,1.0,0.0,0.046771,0.041535,0.052479,feasible
mnist,random,0.7,2,5976,0.11961908999999998,0.005973804436194743,1.0,0.0,1.0,0.0,0.05405,0.049317,0.059108,feasible
mnist,random,0.7,3,4613,0.12090975999999999,0.0062578137510156066,1.0,0.0,1.0,0.0,0.072621,0.066429,0.079217,feasible
mnist,random,0.7,4,5506,0.2174123,0.006120032025243006,0.0,1.0,0.0,1.0,0.201961,0.19309,0.211068,infeasible
mnist,random,0.9,0,4410,0.03371510999999999,0.0024757269917945316,1.0,0.0,1.0,0.0,0.015193,0.012291,0.018587,feasible
mnist,random,0.9,1,5789,0.04117191,0.0032676011448614715,1.0,0.0,1.0,0.0,0.019174,0.016304,0.022412,feasible
mnist,random,0.9,2,4594,0.06659178,0.005073087467371325,1.0,0.0,1.0,0.0,0.019155,0.015949,0.022827,feasible
mnist,random,0.9,3,3333,0.12210778000000001,0.008595483283190073,1.0,0.0,1.0,0.0,0.026103,0.021721,0.031117,feasible
mnist,random,0.9,4,7074,0.34930413,0.009489831900149761,0.0,1.0,0.0,1.0,0.254453,0.24594,0.263116,infeasible
mnist,random,0.5,0,3217,0.17781648,0.00886331522567036,1.0,0.0,1.0,0.0,0.088903,0.080773,0.097591,feasible
mnist,random,0.5,1,4753,0.16228273000000001,0.0077915358727981224,1.0,0.0,1.0,0.0,0.081422,0.074984,0.088245,feasible
mnist,random,0.5,2,4515,0.17410089999999998,0.008309456932315133,1.0,0.0,1.0,0.0,0.094574,0.087495,0.102043,feasible
mnist,random,0.5,3,5963,0.19935385999999997,0.006718703199308627,1.0,0.0,1.0,0.0,0.125105,0.118111,0.132372,feasible
mnist,random,0.5,4,6752,0.22375799000000002,0.006230290297401879,0.76,0.24,0.34,0.66,0.184982,0.177237,0.192929,feasible
mnist,random,0.7,0,3614,0.15389404,0.008340604113515997,1.0,0.0,1.0,0.0,0.057277,0.051048,0.064044,feasible
mnist,random,0.7,1,3726,0.16669056999999998,0.009024282126856409,1.0,0.0,1.0,0.0,0.064681,0.058173,0.0717,feasible
mnist,random,0.7,2,5379,0.17812859,0.008228015135006742,1.0,0.0,1.0,0.0,0.086447,0.080219,0.09301,feasible
mnist,random,0.7,3,5284,0.18583049,0.006907109886913628,1.0,0.0,1.0,0.0,0.1162,0.109012,0.123703,feasible
mnist,random,0.7,4,7197,0.23777177000000002,0.005597886486621535,0.0,1.0,0.0,1.0,0.217869,0.209881,0.226026,infeasible
mnist,random,0.9,0,3439,0.04332912000000001,0.003219512581991255,1.0,0.0,1.0,0.0,0.023263,0.019193,0.02795,feasible
