cell,lambda_ref,stratum,depth,R_pool_k_t,p_upper
mnist/eps_greedy_eps0.25/ts0,0.5,4,0,0.8740422350962437,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,1,0.8833862829377687,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,2,0.8454494487011773,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,3,0.8198467576153989,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,4,0.811997757428518,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,5,0.8062044477667726,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,6,0.7882638759110446,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,7,0.7686413754438423,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,8,0.7428518034012335,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,9,0.7105213978695571,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,10,0.6666043730143898,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,11,0.6086712763969352,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,12,0.5511119416931415,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,13,0.5092506073631097,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,14,0.4733694636516539,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,15,0.4367407961128761,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,16,0.4146888432068772,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,17,0.39282377125770884,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,18,0.37413567557465893,0.0
mnist/eps_greedy_eps0.25/ts0,0.5,4,19,0.3552606989347786,3.187837906530212e-300
mnist/eps_greedy_eps0.25/ts0,0.5,4,20,0.3419921509998131,5.3749715410217106e-266
mnist/eps_greedy_eps0.25/ts0,0.5,4,21,0.3264810315828817,2.732002343389514e-228
mnist/eps_greedy_eps0.25/ts0,0.5,4,22,0.31078303120911976,1.0234409981548545e-192
mnist/eps_greedy_eps0.25/ts0,0.5,4,23,0.30125210241076433,2.0421605585807969e-172
mnist/eps_greedy_eps0.25/ts0,0.5,4,24,0.2911605307419174,5.155941967026748e-152
mnist/eps_greedy_eps0.25/ts0,0.5,4,25,0.28349841151186694,2.7510720179327814e-137
mnist/eps_greedy_eps0.25/ts0,0.5,4,26,0.273033077929359,2.946384687245458e-118
mnist/eps_greedy_eps0.25/ts0,0.5,4,27,0.26088581573537656,8.925190729088847e-98
mnist/eps_greedy_eps0.25/ts0,0.5,4,28,0.2511680059801906,1.1506219091068744e-82
mnist/eps_greedy_eps0.25/ts0,0.5,4,29,0.24107643431134368,3.316324233690308e-68
mnist/eps_greedy_eps0.25/ts0,0.5,4,30,0.2337880769949542,1.4598083527309282e-58
mnist/eps_greedy_eps0.25/ts0,0.5,4,31,0.22799476733320875,2.1926851891921544e-51
mnist/eps_greedy_eps0.25/ts0,0.5,4,32,0.2195851242758363,9.376759614058807e-42
mnist/eps_greedy_eps0.25/ts0,0.5,4,33,0.21566062418239582,1.3862323952166795e-37
mnist/eps_greedy_eps0.25/ts0,0.5,4,34,0.20893290973649786,6.303790738338904e-31
mnist/eps_greedy_eps0.25/ts0,0.5,4,35,0.2001495047654644,3.46351410493275e-23
mnist/eps_greedy_eps0.25/ts0,0.5,4,36,0.19622500467202392,4.381984080258996e-20
mnist/eps_greedy_eps0.25/ts0,0.5,4,37,0.18968417118295647,2.053581772263448e-15
mnist/eps_greedy_eps0.25/ts0,0.5,4,38,0.18351709960755,1.3613605340256243e-11
mnist/eps_greedy_eps0.25/ts0,0.5,4,39,0.17716314707531303,2.9359935870913614e-08
mnist/eps_greedy_eps0.25/ts0,0.5,4,40,0.16968790880209306,3.899685543850945e-05
mnist/eps_greedy_eps0.25/ts0,0.5,4,41,0.16090450383105961,0.013976469902000958
mnist/eps_greedy_eps0.25/ts0,0.5,4,42,0.15754064660811062,0.06426844673562253
mnist/eps_greedy_eps0.25/ts0,0.5,4,43,0.15006540833489068,0.5005087911120227
mnist/eps_greedy_eps0.25/ts0,0.5,4,44,0.1459540272846197,0.8014369649800757
mnist/eps_greedy_eps0.25/ts0,0.5,4,45,0.13903943188189125,0.988805383946483
mnist/eps_greedy_eps0.25/ts0,0.5,4,46,0.13455428891795926,0.9993730076092099
mnist/eps_greedy_eps0.25/ts0,0.5,4,47,0.13156419360867128,0.9999432000050077
mnist/eps_greedy_eps0.25/ts0,0.5,4,48,0.12427583629228181,0.9999999702090631
mnist/eps_greedy_eps0.25/ts0,0.5,4,49,0.12315455055129883,0.9999999925345465
mnist/eps_greedy_eps0.25/ts0,0.7,4,0,0.8778105418356064,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,1,0.8625138223368964,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,2,0.8311831920383339,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,3,0.8063029856247697,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,4,0.7926649465536306,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,5,0.7856616291927755,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,6,0.7705492075193513,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,7,0.7609657206044969,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,8,0.7488020641356432,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,9,0.7427202359012164,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,10,0.7224474751197936,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,11,0.7060449686693697,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,12,0.6881680796166605,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,13,0.6690011057869517,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,14,0.6467010689273867,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,15,0.6142646516771102,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,16,0.5930704017692591,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,17,0.5704017692591228,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,18,0.5460744563214154,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,19,0.5210099520825654,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,20,0.49447106524143014,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,21,0.46756358274972354,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,22,0.4448949502395872,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,23,0.426465167711021,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,24,0.41043125691116844,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,25,0.3962403243641725,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,26,0.3789163287873203,0.0
mnist/eps_greedy_eps0.25/ts0,0.7,4,27,0.3612237375598968,1.377e-320
mnist/eps_greedy_eps0.25/ts0,0.7,4,28,0.3475856984887578,4.223349325249682e-284
mnist/eps_greedy_eps0.25/ts0,0.7,4,29,0.33247327681533356,6.30392245887418e-246
mnist/eps_greedy_eps0.25/ts0,0.7,4,30,0.31994102469590857,4.1757950514397536e-216
mnist/eps_greedy_eps0.25/ts0,0.7,4,31,0.31183192038333946,1.0316239912397813e-197
mnist/eps_greedy_eps0.25/ts0,0.7,4,32,0.30372281607077034,4.843020260980777e-180
mnist/eps_greedy_eps0.25/ts0,0.7,4,33,0.2963509030593439,1.304738158626484e-164
mnist/eps_greedy_eps0.25/ts0,0.7,4,34,0.2863988204939182,9.380796899924195e-145
mnist/eps_greedy_eps0.25/ts0,0.7,4,35,0.27552524880206414,2.3087100106426594e-124
mnist/eps_greedy_eps0.25/ts0,0.7,4,36,0.26815333579063766,2.4976861860400245e-111
mnist/eps_greedy_eps0.25/ts0,0.7,4,37,0.2604128271286399,2.4125526820467463e-98
mnist/eps_greedy_eps0.25/ts0,0.7,4,38,0.2511979358643568,7.69430845812635e-84
mnist/eps_greedy_eps0.25/ts0,0.7,4,39,0.2410615554736454,4.112909712819539e-69
mnist/eps_greedy_eps0.25/ts0,0.7,4,40,0.23092517508293403,1.0553377825492822e-55
mnist/eps_greedy_eps0.25/ts0,0.7,4,41,0.21747143383708073,5.221921103177515e-40
mnist/eps_greedy_eps0.25/ts0,0.7,4,42,0.21360117950608182,5.969232934089426e-36
mnist/eps_greedy_eps0.25/ts0,0.7,4,43,0.20383339476594176,1.2133472392895714e-26
mnist/eps_greedy_eps0.25/ts0,0.7,4,44,0.19830446000737192,5.588568797889884e-22
mnist/eps_greedy_eps0.25/ts0,0.7,4,45,0.19001105786951714,7.939997590741096e-16
mnist/eps_greedy_eps0.25/ts0,0.7,4,46,0.18319203833394765,1.525931032863396e-11
mnist/eps_greedy_eps0.25/ts0,0.7,4,47,0.1763730187983782,5.638632009428507e-08
mnist/eps_greedy_eps0.25/ts0,0.7,4,48,0.16513085145595283,0.0010852653303756376
mnist/eps_greedy_eps0.25/ts0,0.7,4,49,0.1612605971249539,0.011140438082364645
mnist/eps_greedy_eps0.25/ts0,0.9,4,0,0.8942932396839333,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,1,0.8419666374012291,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,2,0.8259877085162424,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,3,0.8066725197541703,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,4,0.7894644424934153,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,5,0.7696224758560141,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,6,0.7582089552238805,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,7,0.7490781387181739,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,8,0.7369622475856014,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,9,0.7341527655838455,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,10,0.7211589113257243,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,11,0.7074626865671642,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,12,0.695171202809482,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,13,0.6818261633011413,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,14,0.6739244951712028,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,15,0.6547848990342405,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,16,0.6467076382791923,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,17,0.636523266022827,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,18,0.6230026338893766,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,19,0.6103599648814749,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,20,0.5984196663740123,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,21,0.5843722563652327,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,22,0.5705004389815628,0.0
mnist/eps_greedy_eps0.25/ts0,0.9,4,23,0.5585601404741001,0.0
