cell,dataset,seed,policy,score,lambda_ref,stratum,stratum_rule,n_k,alpha,gamma,min_threshold_risk,argmin_lambda,n_argmin_thresholds,cost_at_argmin,full_feature_risk,threshold_curve_monotone,n_local_minima,gap_min_minus_alpha,family_p_value,threshold_verdict,min_depth_risk,argmin_depth,risk_at_T,cost_at_argmin_depth,depth_monotonicity_violations,depth_p_value,depth_verdict,is_primary
mnist/eps_greedy_eps0.25/ts0,mnist,0,eps_greedy_eps0.25,softmax,0.5,4,deepest precommitted nonempty,5351,0.15,0.05,0.12315455055129883,0.9595959595959597,5,43.57708839469258,0.12315455055129883,False,4,-0.026845449448701167,0.9999999925345465,feasible,0.12315455055129883,49,0.12315455055129883,49.0,1,0.9999999925345465,feasible,False
mnist/eps_greedy_eps0.25/ts0,mnist,0,eps_greedy_eps0.25,softmax,0.7,4,deepest precommitted nonempty,5426,0.15,0.05,0.1608920014743826,0.9494949494949496,1,46.274603759675635,0.1612605971249539,False,5,0.010892001474382601,0.013519104317792867,family-wide failure certified,0.1612605971249539,49,0.1612605971249539,49.0,0,0.011140438082364645,family-wide failure certified,False
mnist/eps_greedy_eps0.25/ts0,mnist,0,eps_greedy_eps0.25,softmax,0.9,4,deepest precommitted nonempty,5695,0.15,0.05,0.25320456540825287,0.9090909090909092,10,49.0,0.25320456540825287,False,5,0.10320456540825287,4.1010577267893574e-91,family-wide failure certified,0.25320456540825287,49,0.25320456540825287,49.0,0,4.1010577267893574e-91,family-wide failure certified,False
mnist/eps_greedy_eps0.5/ts0,mnist,0,eps_greedy_eps0.5,softmax,0.5,4,deepest precommitted nonempty,6212,0.15,0.05,0.12314874436574372,0.98989898989899,2,47.13860270444302,0.12314874436574372,True,3,-0.026851255634256277,0.999999999469505,feasible,0.12314874436574372,49,0.12314874436574372,49.0,0,0.999999999469505,feasible,False
mnist/eps_greedy_eps0.5/ts0,mnist,0,eps_greedy_eps0.5,softmax,0.7,4,deepest precommitted nonempty,5022,0.15,0.05,0.17502986857825567,0.9292929292929294,8,45.82277976901633,0.17502986857825567,False,5,0.025029868578255676,6.2639471262963e-07,family-wide failure certified,0.17502986857825567,49,0.17502986857825567,49.0,0,6.2639471262963e-07,family-wide failure certified,False
mnist/eps_greedy_eps0.5/ts0,mnist,0,eps_greedy_eps0.5,softmax,0.9,4,deepest precommitted nonempty,6011,0.15,0.05,0.26335052403926135,0.9090909090909092,10,49.0,0.26335052403926135,False,4,0.11335052403926135,4.416502717776924e-114,family-wide failure certified,0.26335052403926135,49,0.26335052403926135,49.0,0,4.416502717776924e-114,family-wide failure certified,False
mnist/greedy_entropy/ts0,mnist,0,greedy_entropy,softmax,0.5,4,deepest precommitted nonempty,6440,0.15,0.05,0.11614906832298137,0.9797979797979799,2,46.36475155279503,0.11630434782608695,False,4,-0.03385093167701862,0.9999999999999984,feasible,0.11630434782608695,49,0.11630434782608695,49.0,1,0.9999999999999979,feasible,False
mnist/greedy_entropy/ts0,mnist,0,greedy_entropy,softmax,0.7,4,deepest precommitted nonempty,5376,0.15,0.05,0.1449032738095238,0.9595959595959597,5,46.66127232142857,0.1449032738095238,False,4,-0.005096726190476186,0.8568577366473663,feasible,0.1449032738095238,49,0.1449032738095238,49.0,0,0.8568577366473663,feasible,False
mnist/greedy_entropy/ts0,mnist,0,greedy_entropy,softmax,0.9,4,deepest precommitted nonempty,5479,0.15,0.05,0.24785544807446613,0.9090909090909092,10,49.0,0.24785544807446613,False,4,0.09785544807446614,1.36921550028183e-79,family-wide failure certified,0.24785544807446613,49,0.24785544807446613,49.0,1,1.36921550028183e-79,family-wide failure certified,True
mnist/greedy_entropy/ts0[margin],mnist,0,greedy_entropy,margin,0.5,4,deepest precommitted nonempty,5385,0.15,0.05,0.13797585886722377,0.9494949494949496,6,47.32516248839369,0.13797585886722377,False,4,-0.012024141132776223,0.9940366804891108,feasible,0.13797585886722377,49,0.13797585886722377,49.0,0,0.9940366804891108,feasible,False
mnist/greedy_entropy/ts0[margin],mnist,0,greedy_entropy,margin,0.7,4,deepest precommitted nonempty,5200,0.15,0.05,0.16942307692307693,0.9393939393939394,7,47.973653846153844,0.16942307692307693,False,5,0.019423076923076932,6.096586693335673e-05,family-wide failure certified,0.16942307692307693,49,0.16942307692307693,49.0,0,6.096586693335673e-05,family-wide failure certified,False
mnist/greedy_entropy/ts0[margin],mnist,0,greedy_entropy,margin,0.9,4,deepest precommitted nonempty,8300,0.15,0.05,0.2010843373493976,0.9090909090909092,10,49.0,0.2010843373493976,True,2,0.0510843373493976,4.090423477224783e-36,family-wide failure certified,0.2010843373493976,49,0.2010843373493976,49.0,0,4.090423477224783e-36,family-wide failure certified,False
mnist/random/ts0,mnist,0,random,softmax,0.5,4,deepest precommitted nonempty,5863,0.15,0.05,0.13406106089032918,0.9696969696969697,4,46.43697765648985,0.13406106089032918,True,5,-0.015938939109670813,0.9997537499669857,feasible,0.13406106089032918,49,0.13406106089032918,49.0,0,0.9997537499669857,feasible,False
mnist/random/ts0,mnist,0,random,softmax,0.7,4,deepest precommitted nonempty,5506,0.15,0.05,0.2015982564475118,0.8989898989898991,2,46.827279331638216,0.20196149654921902,False,6,0.051598256447511814,4.85150007777177e-25,family-wide failure certified,0.20196149654921902,49,0.20196149654921902,49.0,0,2.350728163455303e-25,family-wide failure certified,False
mnist/random/ts0,mnist,0,random,softmax,0.9,4,deepest precommitted nonempty,7074,0.15,0.05,0.2544529262086514,0.8989898989898991,11,48.932428611817926,0.2544529262086514,True,3,0.1044529262086514,3.509508216929623e-115,family-wide failure certified,0.2544529262086514,49,0.2544529262086514,49.0,0,3.509508216929623e-115,family-wide failure certified,False
mnist/greedy_entropy/ts1,mnist,1,greedy_entropy,softmax,0.5,4,deepest precommitted nonempty,8091,0.2,0.05,0.16808799901124707,1.0,1,49.0,0.16808799901124707,False,3,-0.03191200098875294,0.9999999999998955,feasible,0.16808799901124707,49,0.16808799901124707,49.0,1,0.9999999999998955,feasible,False
mnist/greedy_entropy/ts1,mnist,1,greedy_entropy,softmax,0.7,4,deepest precommitted nonempty,7495,0.2,0.05,0.19559706470980653,1.0,1,49.0,0.19559706470980653,True,2,-0.004402935290193477,0.8332802043705964,feasible,0.19559706470980653,49,0.19559706470980653,49.0,0,0.8332802043705964,feasible,False
mnist/greedy_entropy/ts1,mnist,1,greedy_entropy,softmax,0.9,4,deepest precommitted nonempty,7798,0.2,0.05,0.26570915619389585,0.9090909090909092,10,48.980892536547834,0.26570915619389585,True,3,0.06570915619389583,1.0328930164305264e-44,family-wide failure certified,0.26570915619389585,49,0.26570915619389585,49.0,0,1.0328930164305264e-44,family-wide failure certified,False
mnist/random/ts1,mnist,1,random,softmax,0.5,4,deepest precommitted nonempty,6752,0.2,0.05,0.18498222748815166,0.9797979797979799,3,48.07064573459716,0.18498222748815166,True,5,-0.015017772511848354,0.9991184792416892,feasible,0.18498222748815166,49,0.18498222748815166,49.0,0,0.9991184792416892,feasible,False
mnist/random/ts1,mnist,1,random,softmax,0.7,4,deepest precommitted nonempty,7197,0.2,0.05,0.21786855634292066,0.9797979797979799,3,48.821314436570795,0.21786855634292066,True,5,0.017868556342920644,9.290848309103202e-05,family-wide failure certified,0.21786855634292066,49,0.21786855634292066,49.0,0,9.290848309103202e-05,family-wide failure certified,False
mnist/random/ts1,mnist,1,random,softmax,0.9,4,deepest precommitted nonempty,9352,0.2,0.05,0.2650769888793841,0.9090909090909092,10,49.0,0.2650769888793841,True,3,0.06507698887938407,2.8408643411137154e-52,family-wide failure certified,0.2650769888793841,49,0.2650769888793841,49.0,0,2.8408643411137154e-52,family-wide failure certified,False
mnist/greedy_entropy/ts2,mnist,2,greedy_entropy,softmax,0.5,4,deepest precommitted nonempty,5783,0.15,0.05,0.13314888466194016,1.0,1,49.0,0.13314888466194016,False,3,-0.01685111533805983,0.9998747452926656,feasible,0.13314888466194016,49,0.13314888466194016,49.0,1,0.9998747452926656,feasible,False
mnist/greedy_entropy/ts2,mnist,2,greedy_entropy,softmax,0.7,4,deepest precommitted nonempty,5554,0.15,0.05,0.16222542311847318,0.98989898989899,2,48.19139359020526,0.16222542311847318,False,6,0.012225423118473189,0.00603719623763175,family-wide failure certified,0.16222542311847318,49,0.16222542311847318,49.0,0,0.00603719623763175,family-wide failure certified,False
mnist/greedy_entropy/ts2,mnist,2,greedy_entropy,softmax,0.9,4,deepest precommitted nonempty,5193,0.15,0.05,0.268053148469093,0.9090909090909092,10,48.96726362410938,0.268053148469093,False,4,0.11805314846909301,1.785787832286744e-106,family-wide failure certified,0.268053148469093,49,0.268053148469093,49.0,1,1.785787832286744e-106,family-wide failure certified,False
mnist/random/ts2,mnist,2,random,softmax,0.5,4,deepest precommitted nonempty,4241,0.15,0.05,0.1631690639000236,0.9696969696969697,4,46.85310068380099,0.1631690639000236,True,4,0.013169063900023592,0.009190952476743789,family-wide failure certified,0.1631690639000236,49,0.1631690639000236,49.0,0,0.009190952476743789,family-wide failure certified,False
