dataset,policy,lambda_ref,populated_strata,depth_iqr,norm_entropy
mnist,eps_greedy_eps0.25,0.5,5,6.0,0.73367
mnist,eps_greedy_eps0.25,0.7,5,10.0,0.869895
mnist,eps_greedy_eps0.25,0.9,5,30.0,0.886447
mnist,eps_greedy_eps0.5,0.5,5,6.0,0.758898
mnist,eps_greedy_eps0.5,0.7,5,10.0,0.882328
mnist,eps_greedy_eps0.5,0.9,5,30.0,0.866682
mnist,greedy_entropy,0.5,5,6.0,0.6982
mnist,greedy_entropy,0.7,5,10.0,0.863039
mnist,greedy_entropy,0.9,5,31.0,0.901944
mnist,greedy_entropy,0.5,5,6.0,0.708512
mnist,greedy_entropy,0.7,5,9.0,0.840976
mnist,greedy_entropy,0.9,5,31.0,0.836704
mnist,greedy_entropy,0.5,5,5.0,0.71338
mnist,greedy_entropy,0.7,5,9.0,0.842422
mnist,greedy_entropy,0.9,5,27.0,0.901228
mnist,random,0.5,5,9.0,0.848942
mnist,random,0.7,5,14.0,0.923368
mnist,random,0.9,5,23.0,0.831526
mnist,random,0.5,5,10.0,0.854208
mnist,random,0.7,5,17.0,0.936595
mnist,random,0.9,5,23.0,0.774787
mnist,random,0.5,5,9.0,0.832708
mnist,random,0.7,5,15.0,0.935946
mnist,random,0.9,5,26.0,0.837438
mnist[margin],greedy_entropy,0.5,5,9.0,0.842396
mnist[margin],greedy_entropy,0.7,5,19.0,0.927913
mnist[margin],greedy_entropy,0.9,5,30.0,0.826889
tabular-MiniBooNE,eps_greedy_eps0.25,0.5,1,0.0,0.0
tabular-MiniBooNE,eps_greedy_eps0.25,0.7,1,0.0,0.0
tabular-MiniBooNE,eps_greedy_eps0.25,0.9,5,11.0,0.750388
tabular-MiniBooNE,eps_greedy_eps0.5,0.5,1,0.0,0.0
tabular-MiniBooNE,eps_greedy_eps0.5,0.7,1,0.0,0.0
tabular-MiniBooNE,eps_greedy_eps0.5,0.9,5,13.0,0.789242
tabular-MiniBooNE,greedy_entropy,0.5,1,0.0,0.0
tabular-MiniBooNE,greedy_entropy,0.7,1,0.0,0.0
tabular-MiniBooNE,greedy_entropy,0.9,5,8.0,0.695806
tabular-MiniBooNE,greedy_entropy,0.5,1,0.0,0.0
tabular-MiniBooNE,greedy_entropy,0.7,1,0.0,0.0
tabular-MiniBooNE,greedy_entropy,0.9,5,6.0,0.654419
tabular-MiniBooNE,greedy_entropy,0.5,1,0.0,0.0
tabular-MiniBooNE,greedy_entropy,0.7,1,0.0,0.0
tabular-MiniBooNE,greedy_entropy,0.9,5,9.0,0.685888
tabular-MiniBooNE,random,0.5,1,0.0,0.0
tabular-MiniBooNE,random,0.7,1,0.0,0.0
tabular-MiniBooNE,random,0.9,5,23.0,0.843536
tabular-MiniBooNE,random,0.5,1,0.0,0.0
tabular-MiniBooNE,random,0.7,1,0.0,0.0
tabular-MiniBooNE,random,0.9,5,26.0,0.837792
tabular-MiniBooNE,random,0.5,1,0.0,0.0
tabular-MiniBooNE,random,0.7,1,0.0,0.0
tabular-MiniBooNE,random,0.9,5,20.0,0.835909
tabular-MiniBooNE[margin],greedy_entropy,0.5,4,3.0,0.55188
tabular-MiniBooNE[margin],greedy_entropy,0.7,5,5.0,0.674257
tabular-MiniBooNE[margin],greedy_entropy,0.9,5,44.0,0.655775
tabular-adult,eps_greedy_eps0.25,0.5,1,0.0,0.0
tabular-adult,eps_greedy_eps0.25,0.7,1,0.0,0.0
tabular-adult,eps_greedy_eps0.25,0.9,3,13.0,0.53491
tabular-adult,eps_greedy_eps0.5,0.5,1,0.0,0.0
tabular-adult,eps_greedy_eps0.5,0.7,1,0.0,0.0
tabular-adult,eps_greedy_eps0.5,0.9,4,13.0,0.626384
tabular-adult,greedy_entropy,0.5,1,0.0,0.0
tabular-adult,greedy_entropy,0.7,1,0.0,0.0
tabular-adult,greedy_entropy,0.9,3,13.0,0.420256
tabular-adult,greedy_entropy,0.5,1,0.0,0.0
tabular-adult,greedy_entropy,0.7,1,0.0,0.0
tabular-adult,greedy_entropy,0.9,4,13.0,0.446879
tabular-adult,greedy_entropy,0.5,1,0.0,0.0
tabular-adult,greedy_entropy,0.7,1,0.0,0.0
tabular-adult,greedy_entropy,0.9,4,12.0,0.744701
tabular-adult,random,0.5,1,0.0,0.0
tabular-adult,random,0.7,1,0.0,0.0
tabular-adult,random,0.9,5,12.0,0.772814
tabular-adult,random,0.5,1,0.0,0.0
tabular-adult,random,0.7,1,0.0,0.0
tabular-adult,random,0.9,5,11.0,0.796551
tabular-adult,random,0.5,1,0.0,0.0
tabular-adult,random,0.7,1,0.0,0.0
tabular-adult,random,0.9,5,11.0,0.783264
tabular-adult[margin],greedy_entropy,0.5,1,0.0,0.0
tabular-adult[margin],greedy_entropy,0.7,3,13.0,0.469609
tabular-adult[margin],greedy_entropy,0.9,4,12.0,0.587357
tabular-spambase,eps_greedy_eps0.25,0.5,1,0.0,0.0
tabular-spambase,eps_greedy_eps0.25,0.7,5,6.0,0.754485
tabular-spambase,eps_greedy_eps0.25,0.9,5,22.0,0.852654
tabular-spambase,eps_greedy_eps0.5,0.5,1,0.0,0.0
tabular-spambase,eps_greedy_eps0.5,0.7,5,6.0,0.742937
tabular-spambase,eps_greedy_eps0.5,0.9,5,24.0,0.875076
tabular-spambase,greedy_entropy,0.5,1,0.0,0.0
tabular-spambase,greedy_entropy,0.7,4,7.0,0.631749
tabular-spambase,greedy_entropy,0.9,5,19.0,0.789914
tabular-spambase,greedy_entropy,0.5,1,0.0,0.0
tabular-spambase,greedy_entropy,0.7,5,12.0,0.678878
tabular-spambase,greedy_entropy,0.9,5,28.0,0.832499
tabular-spambase,greedy_entropy,0.5,1,0.0,0.0
tabular-spambase,greedy_entropy,0.7,4,7.0,0.777853
tabular-spambase,greedy_entropy,0.9,5,16.0,0.800592
tabular-spambase,random,0.5,1,0.0,0.0
tabular-spambase,random,0.7,5,5.0,0.727547
tabular-spambase,random,0.9,5,23.0,0.931132
tabular-spambase,random,0.5,1,0.0,0.0
tabular-spambase,random,0.7,5,7.0,0.748391
tabular-spambase,random,0.9,5,23.0,0.929634
tabular-spambase,random,0.5,1,0.0,0.0
tabular-spambase,random,0.7,5,5.0,0.706922
tabular-spambase,random,0.9,5,19.0,0.921199
