dataset,policy,scheme,method,violation_frac,wilson_lo,wilson_hi,abstain_rate,mean_risk,mean_cost,cost_ratio_full
mnist,eps_greedy_eps0.25,uniform,cafa_marginal,0.11,0.06254131955225126,0.18631463027903022,0.0,0.14232459000000003,22.28730556,0.4548429706122449
mnist,eps_greedy_eps0.25,uniform,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.08559053000000003,49.0,1.0
mnist,eps_greedy_eps0.25,uniform,plugin,0.22,0.15001174503655804,0.3107053471500031,0.0,0.14735478000000002,21.59338335,0.44068129285714286
mnist,eps_greedy_eps0.25,uniform,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.10725080999999997,28.536353169999998,0.5823745544897959
mnist,eps_greedy_eps0.25,uniform,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.09082068999999998,35.5493968,0.7254978938775509
mnist,eps_greedy_eps0.25,uniform,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.08567457999999999,45.21942700000002,0.9228454489795922
mnist,eps_greedy_eps0.25,uniform,budget_5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.57454921,5.0,0.10204081632653061
mnist,eps_greedy_eps0.25,uniform,budget_10,1.0,0.9630051925239981,0.9999999999999999,0.0,0.40132701000000004,10.0,0.20408163265306123
mnist,eps_greedy_eps0.25,uniform,budget_20,1.0,0.9630051925239981,0.9999999999999999,0.0,0.24521425,20.0,0.40816326530612246
mnist,eps_greedy_eps0.25,uniform,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.14728097,21.587838150000003,0.44056812551020413
mnist,eps_greedy_eps0.25,uniform,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.08559053000000003,49.0,1.0
mnist,eps_greedy_eps0.5,uniform,cafa_marginal,0.14,0.08526265754464905,0.22137360383807236,0.0,0.14181027,21.618394470000002,0.44119172387755107
mnist,eps_greedy_eps0.5,uniform,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.08559053000000003,49.0,1.0
mnist,eps_greedy_eps0.5,uniform,plugin,0.21,0.14165549531645788,0.2998014930196232,0.0,0.14784524,20.9878571,0.42832361428571425
mnist,eps_greedy_eps0.5,uniform,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.09992459999999997,29.360309549999997,0.5991899908163265
mnist,eps_greedy_eps0.5,uniform,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.08932690000000001,35.669744429999994,0.7279539679591835
mnist,eps_greedy_eps0.5,uniform,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.08576504,45.09795083,0.9203663434693878
mnist,eps_greedy_eps0.5,uniform,budget_5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.6157587200000001,5.0,0.10204081632653061
mnist,eps_greedy_eps0.5,uniform,budget_10,1.0,0.9630051925239981,0.9999999999999999,0.0,0.42583409999999994,10.0,0.20408163265306123
mnist,eps_greedy_eps0.5,uniform,budget_20,1.0,0.9630051925239981,0.9999999999999999,0.0,0.23759208000000004,20.0,0.40816326530612246
mnist,eps_greedy_eps0.5,uniform,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.14717857,21.043518230000004,0.4294595557142858
mnist,eps_greedy_eps0.5,uniform,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.08559053000000003,49.0,1.0
mnist,greedy_entropy,uniform,cafa_marginal,0.02,0.005501852234968185,0.07001316294199365,0.0,0.14142696,24.847061089999997,0.5070828793877551
mnist,greedy_entropy,uniform,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.08559053000000003,49.0,1.0
mnist,greedy_entropy,uniform,plugin,0.35,0.2636410465347802,0.4474573957080203,0.0,0.14667695,24.081998360000004,0.49146935428571437
mnist,greedy_entropy,uniform,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.11854049,28.987377809999998,0.5915791389795918
mnist,greedy_entropy,uniform,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.09413414999999999,36.350504740000005,0.7418470355102041
mnist,greedy_entropy,uniform,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.08575632000000001,45.602841330000004,0.9306702312244899
mnist,greedy_entropy,uniform,budget_5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.5418293399999999,5.0,0.10204081632653061
mnist,greedy_entropy,uniform,budget_10,1.0,0.9630051925239981,0.9999999999999999,0.0,0.38341668999999995,10.0,0.20408163265306123
mnist,greedy_entropy,uniform,budget_20,1.0,0.9630051925239981,0.9999999999999999,0.0,0.27013575,20.0,0.40816326530612246
mnist,greedy_entropy,uniform,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.1469151,24.02721109,0.49035124673469394
mnist,greedy_entropy,uniform,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.08559053000000003,49.0,1.0
mnist,greedy_entropy,uniform,cafa_marginal,0.01,0.0017673865655472645,0.0544875247609346,0.0,0.19092615999999998,25.90280872,0.5286287493877551
mnist,greedy_entropy,uniform,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.12312856,49.0,1.0
mnist,greedy_entropy,uniform,plugin,0.59,0.4920125056109662,0.6813284290433533,0.0,0.19740793,25.043963490000007,0.5111012957142859
mnist,greedy_entropy,uniform,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.15526902999999997,31.71406906,0.6472258991836735
mnist,greedy_entropy,uniform,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.13196742999999997,39.20998174999999,0.8002037091836732
mnist,greedy_entropy,uniform,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.12349208,47.004923020000014,0.9592841432653064
mnist,greedy_entropy,uniform,budget_5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.56177149,5.0,0.10204081632653061
mnist,greedy_entropy,uniform,budget_10,1.0,0.9630051925239981,0.9999999999999999,0.0,0.43035321000000004,10.0,0.20408163265306123
mnist,greedy_entropy,uniform,budget_20,1.0,0.9630051925239981,0.9999999999999999,0.0,0.34308733,20.0,0.40816326530612246
mnist,greedy_entropy,uniform,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.19578726,25.250807919999993,0.5153226106122447
mnist,greedy_entropy,uniform,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.12312856,49.0,1.0
mnist,greedy_entropy,uniform,cafa_marginal,0.06,0.02778574526665662,0.12476968531222507,0.0,0.13806986,36.197265849999994,0.7387197112244897
mnist,greedy_entropy,uniform,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.10203886999999998,49.0,1.0
mnist,greedy_entropy,uniform,plugin,0.17,0.10893476059773155,0.25548181233642975,0.0,0.14606986,34.786207180000005,0.7099225955102042
mnist,greedy_entropy,uniform,fixed_conf_0.9,1.0,0.9630051925239981,0.9999999999999999,0.0,0.19489204000000002,28.173490500000003,0.5749691938775511
mnist,greedy_entropy,uniform,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.13745159,36.307257129999996,0.7409644312244897
mnist,greedy_entropy,uniform,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.10509364,45.35268336000001,0.9255649665306124
mnist,greedy_entropy,uniform,budget_5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.58286185,5.0,0.10204081632653061
mnist,greedy_entropy,uniform,budget_10,1.0,0.9630051925239981,0.9999999999999999,0.0,0.4730182500000001,10.0,0.20408163265306123
mnist,greedy_entropy,uniform,budget_20,1.0,0.9630051925239981,0.9999999999999999,0.0,0.37116743999999996,20.0,0.40816326530612246
mnist,greedy_entropy,uniform,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.14602934,34.78654447,0.7099294789795919
mnist,greedy_entropy,uniform,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.10203886999999998,49.0,1.0
mnist,random,uniform,cafa_marginal,0.0,0.0,0.03699480747600191,0.0,0.14169996999999998,25.90008809,0.5285732263265306
mnist,random,uniform,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.08559053000000003,49.0,1.0
mnist,random,uniform,plugin,0.44,0.34671865400968327,0.537720722887437,0.0,0.14733972,25.392745259999998,0.5182192910204081
mnist,random,uniform,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.08943012999999998,35.546770620000004,0.725444298367347
mnist,random,uniform,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.08616983999999998,39.93500874,0.815000178367347
mnist,random,uniform,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.08559053000000003,46.13758964999999,0.9415834622448978
mnist,random,uniform,budget_5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.7160404600000001,5.0,0.10204081632653061
mnist,random,uniform,budget_10,1.0,0.9630051925239981,0.9999999999999999,0.0,0.5577983900000001,10.0,0.20408163265306123
mnist,random,uniform,budget_20,1.0,0.9630051925239981,0.9999999999999999,0.0,0.32650951,20.0,0.40816326530612246
mnist,random,uniform,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.14728888999999998,25.39325712,0.5182297371428571
mnist,random,uniform,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.08559053000000003,49.0,1.0
mnist,random,uniform,cafa_marginal,0.06,0.02778574526665662,0.12476968531222507,0.0,0.19161746999999998,27.296165929999997,0.5570646108163265
mnist,random,uniform,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.12312856,49.0,1.0
mnist,random,uniform,plugin,0.22,0.15001174503655804,0.3107053471500031,0.0,0.19741269,26.816339720000002,0.5472722391836735
mnist,random,uniform,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.13142772,36.59527538,0.7468423546938775
mnist,random,uniform,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.12471824999999999,40.848192909999995,0.8336365899999999
mnist,random,uniform,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.12312856,46.20145796999999,0.9428868973469386
mnist,random,uniform,budget_5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.71277378,5.0,0.10204081632653061
mnist,random,uniform,budget_10,1.0,0.9630051925239981,0.9999999999999999,0.0,0.58197224,10.0,0.20408163265306123
mnist,random,uniform,budget_20,1.0,0.9630051925239981,0.9999999999999999,0.0,0.3875119,20.0,0.40816326530612246
mnist,random,uniform,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.19645319,26.889488130000004,0.5487650638775511
mnist,random,uniform,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.12312856,49.0,1.0
mnist,random,uniform,cafa_marginal,0.01,0.0017673865655472645,0.0544875247609346,0.0,0.14137463000000003,30.00700319,0.6123878202040816
mnist,random,uniform,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.10203886999999998,49.0,1.0
mnist,random,uniform,plugin,0.36,0.2727107459049014,0.45764780018837914,0.0,0.14796905999999999,29.232900799999996,0.5965898122448978
mnist,random,uniform,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.11641430000000001,34.309095219999996,0.7001856167346938
mnist,random,uniform,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.1061873,38.68427857,0.7894750728571428
mnist,random,uniform,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.10210794000000002,44.58314202999999,0.9098600414285712
mnist,random,uniform,budget_5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.7088579399999999,5.0,0.10204081632653061
mnist,random,uniform,budget_10,1.0,0.9630051925239981,0.9999999999999999,0.0,0.57153889,10.0,0.20408163265306123
mnist,random,uniform,budget_20,1.0,0.9630051925239981,0.9999999999999999,0.0,0.36214681000000004,20.0,0.40816326530612246
mnist,random,uniform,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.1477373,29.242546860000008,0.5967866706122451
mnist,random,uniform,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.10203886999999998,49.0,1.0
mnist[margin],greedy_entropy,uniform,cafa_marginal,0.01,0.0017673865655472645,0.0544875247609346,0.0,0.14232384000000003,24.923921500000002,0.5086514591836735
mnist[margin],greedy_entropy,uniform,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.08559053000000003,49.0,1.0
mnist[margin],greedy_entropy,uniform,plugin,0.49,0.3942183009238615,0.5865215952256586,0.0,0.1479635,23.979902399999997,0.48938576326530603
mnist[margin],greedy_entropy,uniform,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.10030719000000002,33.77892377,0.6893657912244898
mnist[margin],greedy_entropy,uniform,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.08927539000000001,39.71794124,0.8105702293877551
mnist[margin],greedy_entropy,uniform,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.08571506,46.77661193,0.9546247332653062
mnist[margin],greedy_entropy,uniform,budget_5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.5418293399999999,5.0,0.10204081632653061
mnist[margin],greedy_entropy,uniform,budget_10,1.0,0.9630051925239981,0.9999999999999999,0.0,0.38341668999999995,10.0,0.20408163265306123
mnist[margin],greedy_entropy,uniform,budget_20,1.0,0.9630051925239981,0.9999999999999999,0.0,0.27013575,20.0,0.40816326530612246
mnist[margin],greedy_entropy,uniform,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.1483341,23.90329209,0.4878222875510204
mnist[margin],greedy_entropy,uniform,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.08559053000000003,49.0,1.0
tabular-MiniBooNE,eps_greedy_eps0.25,uniform,cafa_marginal,0.08,0.04109296948581091,0.14998266879403072,0.0,0.14300251,3.7949147999999995,0.07589829599999999
tabular-MiniBooNE,eps_greedy_eps0.25,uniform,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.08345861000000002,50.0,1.0
tabular-MiniBooNE,eps_greedy_eps0.25,uniform,plugin,0.15,0.09305903191162297,0.23283733332157835,0.0,0.14735164,3.5409845399999993,0.07081969079999999
tabular-MiniBooNE,eps_greedy_eps0.25,uniform,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.09185377999999998,14.550237469999999,0.2910047494
tabular-MiniBooNE,eps_greedy_eps0.25,uniform,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.08546670000000002,20.99046565,0.419809313
tabular-MiniBooNE,eps_greedy_eps0.25,uniform,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.08340824000000001,31.436804930000005,0.6287360986000001
tabular-MiniBooNE,eps_greedy_eps0.25,uniform,budget_5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.16371963,5.0,0.1
tabular-MiniBooNE,eps_greedy_eps0.25,uniform,budget_10,0.0,0.0,0.03699480747600191,0.0,0.12587839999999997,10.0,0.2
tabular-MiniBooNE,eps_greedy_eps0.25,uniform,budget_20,0.0,0.0,0.03699480747600191,0.0,0.09806372000000002,20.0,0.4
tabular-MiniBooNE,eps_greedy_eps0.25,uniform,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.14731105,3.54174662,0.0708349324
tabular-MiniBooNE,eps_greedy_eps0.25,uniform,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.08345861000000002,50.0,1.0
tabular-MiniBooNE,eps_greedy_eps0.25,inverse_info,cafa_marginal,0.08,0.04109296948581091,0.14998266879403072,0.0,0.14300251,20.991501640000003,0.06154724595102626
tabular-MiniBooNE,eps_greedy_eps0.25,inverse_info,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.08345861000000002,341.0632160000001,1.0
tabular-MiniBooNE,eps_greedy_eps0.25,inverse_info,plugin,0.15,0.09305903191162297,0.23283733332157835,0.0,0.14735164,19.45956996,0.05705561035934169
tabular-MiniBooNE,eps_greedy_eps0.25,inverse_info,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.09185377999999998,92.10676291,0.27005774469094307
tabular-MiniBooNE,eps_greedy_eps0.25,inverse_info,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.08546670000000002,136.40640425,0.39994463738945085
tabular-MiniBooNE,eps_greedy_eps0.25,inverse_info,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.08340824000000001,209.50689315,0.6142758389693949
tabular-MiniBooNE,eps_greedy_eps0.25,inverse_info,budget_5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.16371963,26.229029259999997,0.07690371763808146
tabular-MiniBooNE,eps_greedy_eps0.25,inverse_info,budget_10,0.0,0.0,0.03699480747600191,0.0,0.12587839999999997,56.73276594999999,0.16634091068325577
tabular-MiniBooNE,eps_greedy_eps0.25,inverse_info,budget_20,0.0,0.0,0.03699480747600191,0.0,0.09806372000000002,125.34849990000001,0.3675227758950117
tabular-MiniBooNE,eps_greedy_eps0.25,inverse_info,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.14731105,19.46472558,0.057070726677250334
tabular-MiniBooNE,eps_greedy_eps0.25,inverse_info,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.08345861000000002,341.0632160000001,1.0
tabular-MiniBooNE,eps_greedy_eps0.25,random,cafa_marginal,0.08,0.04109296948581091,0.14998266879403072,0.0,0.14300251,15.500681340000002,0.06008016023255815
tabular-MiniBooNE,eps_greedy_eps0.25,random,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.08345861000000002,258.0,1.0
tabular-MiniBooNE,eps_greedy_eps0.25,random,plugin,0.15,0.09305903191162297,0.23283733332157835,0.0,0.14735164,14.270442090000001,0.055311791046511634
