cell,lambda_ref,n_resplits,alpha,delta,cert_rate,cert_lo,cert_hi,refusal_rate,n_certified,uncond_fail_rate,uncond_lo,uncond_hi,cond_fail_rate,cond_lo,cond_hi,sel_lambda_min,sel_lambda_median,sel_lambda_max,mean_certified_cost,mean_deployed_cost,deployed_cost_over_full,premium_vs_marginal,min_stratum_size,deepest_stratum,endpoint_failure_deepest,family_verdict_deepest,refusal_class,nonvacuous
mnist/eps_greedy_eps0.25/ts0,0.5,100,0.15,0.1,1.0,0.9630051925239981,0.9999999999999999,0.0,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.8585858585858587,0.8787878787878789,0.9090909090909092,26.164023412698416,26.164023412698416,0.5339596614836412,1.173573582692423,2635,4,False,feasible,n/a (never refuses),True
mnist/eps_greedy_eps0.25/ts0,0.7,100,0.15,0.1,0.0,0.0,0.03699480747600191,1.0,0,0.0,0.0,0.03699480747600191,,,,,,,,49.0,1.0,2.197869366070788,4119,4,True,family-wide failure certified,A: refusal with certified family-wide failure,False
mnist/eps_greedy_eps0.25/ts0,0.9,100,0.15,0.1,0.0,0.0,0.03699480747600191,1.0,0,0.0,0.0,0.03699480747600191,,,,,,,,49.0,1.0,2.197869366070788,3934,4,True,family-wide failure certified,A: refusal with certified family-wide failure,False
mnist/eps_greedy_eps0.5/ts0,0.5,100,0.15,0.1,1.0,0.9630051925239981,0.9999999999999999,0.0,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.8181818181818182,0.8383838383838385,0.9191919191919192,24.668251587301576,24.668251587301576,0.5034337058632975,1.1406626721572506,4349,4,False,feasible,n/a (never refuses),True
mnist/eps_greedy_eps0.5/ts0,0.7,100,0.15,0.1,0.0,0.0,0.03699480747600191,1.0,0,0.0,0.0,0.03699480747600191,,,,,,,,49.0,1.0,2.2657654004338488,4288,4,True,family-wide failure certified,A: refusal with certified family-wide failure,False
mnist/eps_greedy_eps0.5/ts0,0.9,100,0.15,0.1,0.0,0.0,0.03699480747600191,1.0,0,0.0,0.0,0.03699480747600191,,,,,,,,49.0,1.0,2.2657654004338488,4174,4,True,family-wide failure certified,A: refusal with certified family-wide failure,False
mnist/greedy_entropy/ts0,0.5,100,0.15,0.1,1.0,0.9630051925239981,0.9999999999999999,0.0,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.8989898989898991,0.9090909090909092,0.9292929292929294,30.697604761904763,30.697604761904763,0.6264817298347911,1.235061292248179,3160,4,False,feasible,n/a (never refuses),True
mnist/greedy_entropy/ts0,0.7,100,0.15,0.1,0.08,0.04109296948581091,0.14998266879403072,0.92,8,0.0,0.0,0.03699480747600191,0.0,0.0,0.3244156195108769,0.8989898989898991,0.9191919191919192,0.9393939393939394,32.10993551587302,47.64879484126985,0.9724243845157111,1.9170610406632766,4076,4,False,feasible,"C: refusal, unresolved",True
mnist/greedy_entropy/ts0,0.9,100,0.15,0.1,0.0,0.0,0.03699480747600191,1.0,0,0.0,0.0,0.03699480747600191,,,,,,,,49.0,1.0,1.9714242785242528,4173,4,True,family-wide failure certified,A: refusal with certified family-wide failure,False
mnist/greedy_entropy/ts0[margin],0.5,100,0.15,0.1,0.45,0.3561437510640346,0.5475557296835656,0.55,45,0.0,0.0,0.03699480747600191,0.0,0.0,0.07865426194064076,0.8282828282828284,0.8787878787878789,0.9494949494949496,32.36630511463845,41.514837301587306,0.8472415775834145,1.6649249396445671,3540,4,False,feasible,"C: refusal, unresolved",True
