cell,lambda_ref,resplit,certified,lambda_idx,any_stratum_pool_fail
mnist/eps_greedy_eps0.25/ts0,0.5,0,1,89,0
mnist/eps_greedy_eps0.25/ts0,0.5,1,1,89,0
mnist/eps_greedy_eps0.25/ts0,0.5,2,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,3,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,4,1,88,0
mnist/eps_greedy_eps0.25/ts0,0.5,5,1,88,0
mnist/eps_greedy_eps0.25/ts0,0.5,6,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,7,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,8,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,9,1,85,0
mnist/eps_greedy_eps0.25/ts0,0.5,10,1,85,0
mnist/eps_greedy_eps0.25/ts0,0.5,11,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,12,1,86,0
mnist/eps_greedy_eps0.25/ts0,0.5,13,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,14,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,15,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,16,1,85,0
mnist/eps_greedy_eps0.25/ts0,0.5,17,1,86,0
mnist/eps_greedy_eps0.25/ts0,0.5,18,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,19,1,90,0
mnist/eps_greedy_eps0.25/ts0,0.5,20,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,21,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,22,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,23,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,24,1,86,0
mnist/eps_greedy_eps0.25/ts0,0.5,25,1,86,0
mnist/eps_greedy_eps0.25/ts0,0.5,26,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,27,1,88,0
mnist/eps_greedy_eps0.25/ts0,0.5,28,1,85,0
mnist/eps_greedy_eps0.25/ts0,0.5,29,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,30,1,86,0
mnist/eps_greedy_eps0.25/ts0,0.5,31,1,87,0
mnist/eps_greedy_eps0.25/ts0,0.5,32,1,85,0
mnist/eps_greedy_eps0.25/ts0,0.5,33,1,87,0
