cell,abstain@0.5,abstain@0.7,abstain@0.9,nonvacuous_at_some_lambda_ref,vacuous@0.9
mnist/eps_greedy_eps0.25/ts0,0.0,1.0,1.0,1,1
mnist/eps_greedy_eps0.5/ts0,0.0,1.0,1.0,1,1
mnist/greedy_entropy/ts0,0.0,0.92,1.0,1,1
mnist/greedy_entropy/ts0[margin],0.55,1.0,1.0,1,1
mnist/random/ts0,0.23,1.0,1.0,1,1
mnist/greedy_entropy/ts1,0.0,0.96,1.0,1,1
mnist/random/ts1,0.24,1.0,1.0,1,1
mnist/greedy_entropy/ts2,0.1,1.0,1.0,1,1
mnist/random/ts2,1.0,1.0,1.0,0,1
tabular-MiniBooNE/eps_greedy_eps0.25/ts0,0.0,0.0,1.0,1,1
tabular-MiniBooNE/eps_greedy_eps0.5/ts0,0.0,0.0,1.0,1,1
tabular-MiniBooNE/greedy_entropy/ts0,0.0,0.0,1.0,1,1
tabular-MiniBooNE/greedy_entropy/ts0[margin],1.0,1.0,1.0,0,1
tabular-MiniBooNE/random/ts0,0.0,0.0,1.0,1,1
tabular-MiniBooNE/greedy_entropy/ts1,0.0,0.0,1.0,1,1
tabular-MiniBooNE/random/ts1,0.0,0.0,1.0,1,1
tabular-MiniBooNE/greedy_entropy/ts2,0.0,0.0,1.0,1,1
tabular-MiniBooNE/random/ts2,0.0,0.0,1.0,1,1
tabular-adult/eps_greedy_eps0.25/ts0,0.0,0.0,1.0,1,1
tabular-adult/eps_greedy_eps0.5/ts0,0.0,0.0,1.0,1,1
tabular-adult/greedy_entropy/ts0,0.0,0.0,1.0,1,1
tabular-adult/greedy_entropy/ts0[margin],0.0,1.0,1.0,1,1
tabular-adult/random/ts0,0.0,0.0,1.0,1,1
tabular-adult/greedy_entropy/ts1,0.0,0.0,1.0,1,1
tabular-adult/random/ts1,0.0,0.0,1.0,1,1
tabular-adult/greedy_entropy/ts2,0.0,0.0,1.0,1,1
tabular-adult/random/ts2,0.0,0.0,1.0,1,1
tabular-spambase/eps_greedy_eps0.25/ts0,0.0,0.72,1.0,1,1
tabular-spambase/eps_greedy_eps0.5/ts0,0.0,0.81,1.0,1,1
tabular-spambase/greedy_entropy/ts0,0.0,0.8,1.0,1,1
tabular-spambase/random/ts0,0.0,0.01,0.98,1,0
tabular-spambase/greedy_entropy/ts1,0.0,0.97,0.99,1,0
tabular-spambase/random/ts1,0.0,0.41,1.0,1,1
tabular-spambase/greedy_entropy/ts2,0.0,0.62,1.0,1,1
tabular-spambase/random/ts2,0.0,0.77,1.0,1,1
