dataset,eps,alpha,quality_auc,steps_to_90,lambda_ref,strata_count,depth_iqr,depth_entropy_norm,k_star,R_full_kstar,cp_lcb95,cp_ucb95,verdict,marginal_undercoverage,q,Delta,n_q,min_lambda_ref_detected
mnist,0.0,0.15,0.7106073858114673,37,0.5,5,6.0,0.6982,4,0.116304,0.109785,0.123082,feasible,-0.012412370000000006,0.25555555555555554,-0.03369599999999999,6440,0.9
mnist,0.0,0.15,0.7106073858114673,37,0.7,5,10.0,0.863039,4,0.144903,0.137057,0.153036,undetermined,0.009484330000000013,0.21333333333333335,-0.00509699999999999,5376,0.9
mnist,0.0,0.15,0.7106073858114673,37,0.9,5,31.0,0.901944,4,0.247855,0.23827,0.257639,infeasible,0.15053916000000003,0.21742063492063493,0.097855,5479,0.9
mnist,0.25,0.15,0.7236904761904761,30,0.5,5,6.0,0.73367,4,0.123155,0.115825,0.13079,feasible,-0.009266699999999989,0.21234126984126983,-0.026844999999999994,5351,0.7
mnist,0.25,0.15,0.7236904761904761,30,0.7,5,10.0,0.869895,4,0.161261,0.153092,0.1697,infeasible,0.02818079999999995,0.21531746031746032,0.011260999999999993,5426,0.7
mnist,0.25,0.15,0.7236904761904761,30,0.9,5,30.0,0.886447,4,0.253205,0.243734,0.262863,infeasible,0.18364300000000003,0.2259920634920635,0.10320500000000002,5695,0.7
mnist,0.5,0.15,0.7240727243278263,27,0.5,5,6.0,0.758898,4,0.123149,0.116342,0.130218,feasible,-0.0026163100000000106,0.2465079365079365,-0.026851,6212,0.7
mnist,0.5,0.15,0.7240727243278263,27,0.7,5,10.0,0.882328,4,0.17503,0.166252,0.184089,infeasible,0.036104880000000034,0.1992857142857143,0.025029999999999997,5022,0.7
mnist,0.5,0.15,0.7240727243278263,27,0.9,5,30.0,0.866682,4,0.263351,0.254009,0.272862,infeasible,0.20019128999999994,0.23853174603174604,0.11335100000000001,6011,0.7
mnist,1.0,0.15,0.6646096533851636,32,0.5,5,9.0,0.848942,4,0.134061,0.126792,0.1416,feasible,0.016869549999999983,0.23265873015873015,-0.01593899999999998,5863,0.7
mnist,1.0,0.15,0.6646096533851636,32,0.7,5,14.0,0.923368,4,0.201961,0.19309,0.211068,infeasible,0.06741230000000001,0.2184920634920635,0.05196100000000001,5506,0.7
mnist,1.0,0.15,0.6646096533851636,32,0.9,5,23.0,0.831526,4,0.254453,0.24594,0.263116,infeasible,0.19930413,0.2807142857142857,0.10445299999999999,7074,0.7
tabular-MiniBooNE,0.0,0.15,0.892551310253508,3,0.5,1,0.0,0.0,1,0.083399,0.081306,0.085531,feasible,-0.017280269999999986,1.0,-0.066601,46823,0.9
tabular-MiniBooNE,0.0,0.15,0.892551310253508,3,0.7,1,0.0,0.0,1,0.083399,0.081306,0.085531,feasible,-0.017280269999999986,1.0,-0.066601,46823,0.9
tabular-MiniBooNE,0.0,0.15,0.892551310253508,3,0.9,5,8.0,0.695806,4,0.233442,0.226189,0.240821,infeasible,0.20592820000000003,0.19605749311235932,0.08344200000000002,9180,0.9
tabular-MiniBooNE,0.25,0.15,0.8893913247762851,5,0.5,1,0.0,0.0,1,0.083399,0.081306,0.085531,feasible,-0.006997489999999995,1.0,-0.066601,46823,0.9
tabular-MiniBooNE,0.25,0.15,0.8893913247762851,5,0.7,1,0.0,0.0,1,0.083399,0.081306,0.085531,feasible,-0.006997489999999995,1.0,-0.066601,46823,0.9
tabular-MiniBooNE,0.25,0.15,0.8893913247762851,5,0.9,5,11.0,0.750388,4,0.232361,0.225214,0.23963,infeasible,0.22390465,0.20128996433376758,0.08236100000000002,9425,0.9
tabular-MiniBooNE,0.5,0.15,0.8848952437904448,6,0.5,1,0.0,0.0,1,0.083399,0.081306,0.085531,feasible,-0.008159819999999984,1.0,-0.066601,46823,0.9
tabular-MiniBooNE,0.5,0.15,0.8848952437904448,6,0.7,1,0.0,0.0,1,0.083399,0.081306,0.085531,feasible,-0.008159819999999984,1.0,-0.066601,46823,0.9
tabular-MiniBooNE,0.5,0.15,0.8848952437904448,6,0.9,5,13.0,0.789242,4,0.233246,0.225975,0.240642,infeasible,0.22474451000000004,0.19503235589347115,0.08324600000000001,9132,0.9
tabular-MiniBooNE,1.0,0.15,0.8661386498088547,10,0.5,1,0.0,0.0,1,0.083399,0.081306,0.085531,feasible,-0.006655860000000013,1.0,-0.066601,46823,0.9
tabular-MiniBooNE,1.0,0.15,0.8661386498088547,10,0.7,1,0.0,0.0,1,0.083399,0.081306,0.085531,feasible,-0.006655860000000013,1.0,-0.066601,46823,0.9
tabular-MiniBooNE,1.0,0.15,0.8661386498088547,10,0.9,5,23.0,0.843536,4,0.225146,0.21808,0.232338,infeasible,0.20125883000000003,0.20128996433376758,0.07514600000000002,9425,0.9
tabular-adult,0.0,0.2,0.7969770094770096,4,0.5,1,0.0,0.0,1,0.150799,0.146201,0.155489,feasible,-0.03857002000000004,1.0,-0.04920100000000002,16280,0.9
tabular-adult,0.0,0.2,0.7969770094770096,4,0.7,1,0.0,0.0,1,0.150799,0.146201,0.155489,feasible,-0.03857002000000004,1.0,-0.04920100000000002,16280,0.9
tabular-adult,0.0,0.2,0.7969770094770096,4,0.9,3,13.0,0.420256,3,0.30919,0.299575,0.318936,infeasible,0.11357991,0.385012285012285,0.10919000000000001,6268,0.9
tabular-adult,0.25,0.2,0.8066163566163566,3,0.5,1,0.0,0.0,1,0.150799,0.146201,0.155489,feasible,-0.03445209000000002,1.0,-0.04920100000000002,16280,0.9
tabular-adult,0.25,0.2,0.8066163566163566,3,0.7,1,0.0,0.0,1,0.150799,0.146201,0.155489,feasible,-0.03445209000000002,1.0,-0.04920100000000002,16280,0.9
tabular-adult,0.25,0.2,0.8066163566163566,3,0.9,3,13.0,0.53491,3,0.308417,0.298804,0.318162,infeasible,0.12157774999999998,0.3845823095823096,0.10841699999999999,6261,0.9
tabular-adult,0.5,0.2,0.8106045981045981,3,0.5,1,0.0,0.0,1,0.150799,0.146201,0.155489,feasible,-0.028175689999999975,1.0,-0.04920100000000002,16280,0.9
tabular-adult,0.5,0.2,0.8106045981045981,3,0.7,1,0.0,0.0,1,0.150799,0.146201,0.155489,feasible,-0.028175689999999975,1.0,-0.04920100000000002,16280,0.9
tabular-adult,0.5,0.2,0.8106045981045981,3,0.9,4,13.0,0.626384,4,0.3082,0.298548,0.317987,infeasible,0.13429431000000008,0.3812653562653563,0.10819999999999996,6207,0.9
tabular-adult,1.0,0.2,0.8122674622674622,2,0.5,1,0.0,0.0,1,0.150799,0.146201,0.155489,feasible,-0.017067589999999994,1.0,-0.04920100000000002,16280,0.9
tabular-adult,1.0,0.2,0.8122674622674622,2,0.7,1,0.0,0.0,1,0.150799,0.146201,0.155489,feasible,-0.017067589999999994,1.0,-0.04920100000000002,16280,0.9
tabular-adult,1.0,0.2,0.8122674622674622,2,0.9,5,12.0,0.772814,4,0.308405,0.298621,0.318326,infeasible,0.15884404000000002,0.3712530712530713,0.10840499999999997,6044,0.9
tabular-spambase,0.0,0.15,0.8862456564115602,8,0.5,1,0.0,0.0,1,0.06099,0.051599,0.071558,feasible,-0.024516909999999975,1.0,-0.08900999999999999,1656,
tabular-spambase,0.0,0.15,0.8862456564115602,8,0.7,4,7.0,0.631749,4,0.116279,0.088948,0.148664,feasible,0.13027497000000002,0.20772946859903382,-0.033721,344,
tabular-spambase,0.0,0.15,0.8862456564115602,8,0.9,5,19.0,0.789914,4,0.172691,0.134359,0.21697,undetermined,0.23437058999999996,0.1503623188405797,0.022691000000000017,249,
tabular-spambase,0.25,0.15,0.8870614035087718,10,0.5,1,0.0,0.0,1,0.06099,0.051599,0.071558,feasible,-0.023116039999999977,1.0,-0.08900999999999999,1656,0.9
tabular-spambase,0.25,0.15,0.8870614035087718,10,0.7,5,6.0,0.754485,4,0.10929,0.083533,0.139883,feasible,0.07381038000000001,0.2210144927536232,-0.040709999999999996,366,0.9
tabular-spambase,0.25,0.15,0.8870614035087718,10,0.9,5,22.0,0.852654,4,0.19281,0.156421,0.233709,infeasible,0.22140181000000006,0.18478260869565216,0.042810000000000015,306,0.9
tabular-spambase,0.5,0.15,0.8849955504703787,10,0.5,1,0.0,0.0,1,0.06099,0.051599,0.071558,feasible,-0.024794729999999987,1.0,-0.08900999999999999,1656,
tabular-spambase,0.5,0.15,0.8849955504703787,10,0.7,5,6.0,0.742937,4,0.112583,0.083955,0.147048,feasible,0.056304170000000014,0.1823671497584541,-0.03741699999999999,302,
tabular-spambase,0.5,0.15,0.8849955504703787,10,0.9,5,24.0,0.875076,4,0.176301,0.14332,0.21348,undetermined,0.18309633000000006,0.20893719806763286,0.02630100000000002,346,
tabular-spambase,1.0,0.15,0.8646760318671074,17,0.5,1,0.0,0.0,1,0.06099,0.051599,0.071558,feasible,-0.024227039999999977,1.0,-0.08900999999999999,1656,
tabular-spambase,1.0,0.15,0.8646760318671074,17,0.7,5,5.0,0.727547,4,0.081081,0.061536,0.104574,feasible,-0.022590620000000006,0.29045893719806765,-0.068919,481,
tabular-spambase,1.0,0.15,0.8646760318671074,17,0.9,5,23.0,0.931132,4,0.13881,0.109471,0.172763,undetermined,0.09916718999999999,0.21316425120772947,-0.011190000000000005,353,
