dataset,alpha,is_committed,floor,committed_alpha,pool_exceed,wilson_lo,wilson_hi,mean_pool_risk,mean_pool_cost,fallbacks
mnist,0.0979,0,0.077857,0.15,0.01,0.0017673865655472645,0.0544875247609346,0.09599801587301587,35.42083849206351,0
mnist,0.1279,0,0.077857,0.15,0.17,0.10893476059773155,0.25548181233642975,0.12500198412698413,27.7097234126984,0
mnist,0.15,1,0.077857,0.15,0.0,0.0,0.03699480747600191,0.14668095238095236,24.090729761904758,0
mnist,0.1579,0,0.077857,0.15,0.03,0.010254338223414816,0.08452078080402699,0.1547888888888889,22.90638333333334,0
mnist,0.1879,0,0.077857,0.15,0.4,0.3093997461136028,0.4979992153815976,0.18407857142857142,19.31700873015873,0
mnist,0.2279,0,0.077857,0.15,0.17,0.10893476059773155,0.25548181233642975,0.22441309523809527,15.730889285714285,0
mnist,0.2779,0,0.077857,0.15,0.15,0.09305903191162297,0.23283733332157835,0.27421269841269846,12.107984126984123,0
tabular-MiniBooNE,0.1044,0,0.084374,0.15,0.26,0.18404578126986462,0.35371172631861636,0.1034480917497811,48.4137882681383,0
tabular-MiniBooNE,0.1344,0,0.084374,0.15,0.0,0.0,0.03699480747600191,0.1320936291993251,17.254530320847824,0
tabular-MiniBooNE,0.15,1,0.084374,0.15,0.0,0.0,0.03699480747600191,0.13256305661747428,17.036014533399417,0
tabular-MiniBooNE,0.1644,0,0.084374,0.15,0.0,0.0,0.03699480747600191,0.13256305661747428,17.036014533399417,0
tabular-MiniBooNE,0.1944,0,0.084374,0.15,0.0,0.0,0.03699480747600191,0.13256305661747428,17.036014533399417,0
tabular-MiniBooNE,0.2344,0,0.084374,0.15,0.0,0.0,0.03699480747600191,0.13256305661747428,17.036014533399417,0
tabular-MiniBooNE,0.2844,0,0.084374,0.15,0.0,0.0,0.03699480747600191,0.27771180829933995,0.3407202906679883,0
tabular-adult,0.1665,0,0.14649,0.2,0.0,0.0,0.03699480747600191,0.16103869778869784,34.955096932897334,0
tabular-adult,0.1965,0,0.14649,0.2,0.0,0.0,0.03699480747600191,0.16124078624078628,34.41586915733372,0
tabular-adult,0.2,1,0.14649,0.2,0.0,0.0,0.03699480747600191,0.16124078624078628,34.41586915733372,0
tabular-adult,0.2265,0,0.14649,0.2,0.0,0.0,0.03699480747600191,0.16124078624078628,34.41586915733372,0
tabular-adult,0.2565,0,0.14649,0.2,0.0,0.0,0.03699480747600191,0.24821867321867327,0.0,0
tabular-adult,0.2965,0,0.14649,0.2,0.0,0.0,0.03699480747600191,0.24821867321867327,0.0,0
tabular-adult,0.3465,0,0.14649,0.2,0.0,0.0,0.03699480747600191,0.24821867321867327,0.0,0
tabular-spambase,0.0743,0,0.054348,0.15,0.22,0.15001174503655804,0.3107053471500031,0.0730132850241546,103.34553573868288,0
tabular-spambase,0.1043,0,0.054348,0.15,0.39,0.300167219319702,0.48797163832501844,0.10303140096618359,60.329023911034156,0
tabular-spambase,0.1343,0,0.054348,0.15,0.44,0.34671865400968327,0.537720722887437,0.1316485507246377,30.88739025688804,0
tabular-spambase,0.15,1,0.054348,0.15,0.45,0.3561437510640346,0.5475557296835656,0.143756038647343,23.68954271267643,0
tabular-spambase,0.1643,0,0.054348,0.15,0.0,0.0,0.03699480747600191,0.1556582125603865,19.520608279196395,0
tabular-spambase,0.2043,0,0.054348,0.15,0.0,0.0,0.03699480747600191,0.15821256038647347,18.763222744268994,0
tabular-spambase,0.2543,0,0.054348,0.15,0.0,0.0,0.03699480747600191,0.15821256038647347,18.763222744268994,0
