cell,alpha,delta,n_resplits,abstentions,pool_viol,pool_lo,pool_hi,pool_gate,test_viol,test_lo,test_hi,test_gate,mean_margin_alpha_minus_Rpool,mean_R_pool_at_lambda,corr_Rcal_Rtest_fixed_lambda,corr_Rcal_at_hat_vs_test_excess
mnist/eps_greedy_eps0.25/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.11,0.06254131955225126,0.18631463027903022,FAIL,0.008025793650793638,0.14197420634920632,-1.0,0.06170769749524712
mnist/eps_greedy_eps0.5/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.14,0.08526265754464905,0.22137360383807236,FAIL,0.008393650793650786,0.14160634920634924,-0.9999999999999998,-0.15529055517648843
mnist/greedy_entropy/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.02,0.005501852234968185,0.07001316294199365,PASS,0.00854841269841269,0.14145158730158733,-1.0,-0.18961011577986936
mnist/greedy_entropy/ts0[margin],0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.01,0.0017673865655472645,0.0544875247609346,PASS,0.007772619047619045,0.14222738095238094,-0.9999999999999998,0.1571199501472733
mnist/random/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.008339682539682538,0.14166031746031743,-1.0,-0.18554023835005998
mnist/greedy_entropy/ts1,0.2,0.1,100,0,0.01,0.0017673865655472645,0.0544875247609346,PASS,0.01,0.0017673865655472645,0.0544875247609346,PASS,0.009423412698412723,0.19057658730158736,-1.0,0.2303594355173084
mnist/random/ts1,0.2,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.06,0.02778574526665662,0.12476968531222507,FAIL,0.009023809523809533,0.19097619047619055,-1.0,0.0387680854593812
mnist/greedy_entropy/ts2,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.06,0.02778574526665662,0.12476968531222507,FAIL,0.011769047619047618,0.13823095238095232,-1.0,-0.39224507572837725
mnist/random/ts2,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.01,0.0017673865655472645,0.0544875247609346,PASS,0.008594841269841261,0.14140515873015871,-0.9999999999999998,0.16526147948840456
tabular-MiniBooNE/eps_greedy_eps0.25/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.08,0.04109296948581091,0.14998266879403072,FAIL,0.006977553766311435,0.14302244623368854,-0.9999999999999999,-0.5081472690149064
