cell,R_pool_s0,R_pool_s1,R_pool_s2,R_pool_s3,R_pool_s4,agg_pool_risk,lambda_idx,lambda_ref,pool_cost,resplit
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,0
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,1
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,2
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,3
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,4
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,5
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,6
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,7
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,8
mnist/eps_greedy_eps0.25/ts0,0.078076,0.078544,0.091271,0.119217,0.346971,0.14813492063492065,81,0.9,21.46468253968254,9
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,10
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,11
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,12
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,13
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,14
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,15
