n,q,Delta,risk,B,power,mc_lo,mc_hi,unresolved_frac,mean_n_k,p5_n_k,p95_n_k,theorem_sufficient_nq,nq,above_sufficient
500,0.02,0.01,0.16,5000,0.0378,0.032858699993149616,0.04345098974602999,0.0,10.0092,5.0,15.0,14978.661367769953,10.0,False
500,0.02,0.02,0.16999999999999998,5000,0.0458,0.040345840574710114,0.051951565482268196,0.0,9.9606,5.0,15.0,3744.6653419424883,10.0,False
500,0.02,0.05,0.2,5000,0.0788,0.07165111744051891,0.08659561842737906,0.0004,9.9208,5.0,15.0,599.146454710798,10.0,False
500,0.02,0.08,0.22999999999999998,5000,0.1238,0.11495854964474309,0.13321909051077263,0.0002,9.983,5.0,15.0,234.04158387140552,10.0,False
500,0.02,0.1,0.25,5000,0.1478,0.13823308366525058,0.15790770544366126,0.0,10.0112,5.0,15.0,149.7866136776995,10.0,False
500,0.02,0.15,0.3,5000,0.2578,0.245864417318529,0.2701074711601152,0.0,9.9778,5.0,15.0,66.5718283011998,10.0,False
500,0.02,0.0,0.15,5000,0.027,0.022857483632465987,0.03186878907768535,0.0,10.0092,5.0,15.0,,10.0,
500,0.02,-0.02,0.13,5000,0.0194,0.015929549086400117,0.02360839312184245,0.0,10.0338,5.0,16.0,,10.0,
500,0.05,0.01,0.16,5000,0.0518,0.04599374548571761,0.05829444780960974,0.0,25.0238,17.0,33.0,14978.661367769953,25.0,False
500,0.05,0.02,0.16999999999999998,5000,0.063,0.05659513927354656,0.07007585686669895,0.0,25.0136,17.0,33.0,3744.6653419424883,25.0,False
500,0.05,0.05,0.2,5000,0.1256,0.11670058306098505,0.13507429326603534,0.0,24.9798,17.0,33.0,599.146454710798,25.0,False
500,0.05,0.08,0.22999999999999998,5000,0.2222,0.21089242018035304,0.23393413068408686,0.0,24.9862,17.0,33.0,234.04158387140552,25.0,False
500,0.05,0.1,0.25,5000,0.3094,0.29673759914389564,0.32235505958455024,0.0,25.1158,17.0,33.0,149.7866136776995,25.0,False
500,0.05,0.15,0.3,5000,0.5196,0.5057416208956046,0.5334282840830021,0.0,25.0418,17.0,33.0,66.5718283011998,25.0,False
500,0.05,0.0,0.15,5000,0.0324,0.0278399055014477,0.03767807572321777,0.0,24.8824,17.0,33.0,,25.0,
500,0.05,-0.02,0.13,5000,0.0152,0.012161821505719159,0.018982569635679084,0.0,25.0552,17.0,33.0,,25.0,
500,0.1,0.01,0.16,5000,0.0542,0.048259516112472534,0.06082499207819442,0.0,49.9986,39.0,61.0,14978.661367769953,50.0,False
500,0.1,0.02,0.16999999999999998,5000,0.0854,0.07796805637104694,0.09346854545903498,0.0,50.1016,39.0,61.0,3744.6653419424883,50.0,False
500,0.1,0.05,0.2,5000,0.2058,0.1948216834164156,0.21723004899653692,0.0,50.1098,39.0,61.0,599.146454710798,50.0,False
500,0.1,0.08,0.22999999999999998,5000,0.3948,0.3813366684420439,0.4084248619789031,0.0,50.1752,40.0,61.0,234.04158387140552,50.0,False
500,0.1,0.1,0.25,5000,0.5174,0.503541054658337,0.5312322283328752,0.0,49.8232,39.0,61.0,149.7866136776995,50.0,False
500,0.1,0.15,0.3,5000,0.7784,0.7666765247697203,0.7896960030896749,0.0,49.918,39.0,62.0,66.5718283011998,50.0,False
500,0.1,0.0,0.15,5000,0.0348,0.03006648880812209,0.04024780731188299,0.0,49.9798,39.0,61.0,,50.0,
500,0.1,-0.02,0.13,5000,0.0124,0.009685341838572314,0.015863348591596382,0.0,49.9814,39.0,61.0,,50.0,
500,0.2,0.01,0.16,5000,0.0726,0.06573102048481834,0.08012523523678562,0.0,100.1916,86.0,114.0,14978.661367769953,100.0,False
500,0.2,0.02,0.16999999999999998,5000,0.116,0.10741713800247109,0.12517247874319087,0.0,100.3074,86.0,115.0,3744.6653419424883,100.0,False
500,0.2,0.05,0.2,5000,0.3454,0.332343070368566,0.3586943117899741,0.0,99.9888,85.0,115.0,599.146454710798,100.0,False
500,0.2,0.08,0.22999999999999998,5000,0.6248,0.6112883650203663,0.6381200095372935,0.0,100.1342,86.0,115.0,234.04158387140552,100.0,False
500,0.2,0.1,0.25,5000,0.7764,0.7646411412205055,0.7877344575594399,0.0,99.6914,85.0,114.0,149.7866136776995,100.0,False
500,0.2,0.15,0.3,5000,0.9662,0.9608220944942647,0.970862073925455,0.0,100.058,85.0,115.0,66.5718283011998,100.0,True
500,0.2,0.0,0.15,5000,0.0392,0.034164850879234925,0.044942689215559446,0.0,99.6838,85.0,114.0,,100.0,
500,0.2,-0.02,0.13,5000,0.011,0.008461131724304237,0.014289708350249683,0.0,99.8014,85.0,114.0,,100.0,
500,0.4,0.01,0.16,5000,0.0948,0.0869884018746821,0.10323376662881328,0.0,200.2766,182.0,219.0,14978.661367769953,200.0,False
500,0.4,0.02,0.16999999999999998,5000,0.1778,0.16745050100453412,0.18864422429612293,0.0,199.9986,182.0,218.0,3744.6653419424883,200.0,False
500,0.4,0.05,0.2,5000,0.5564,0.5425910801495271,0.570122319890954,0.0,200.3052,182.0,218.0,599.146454710798,200.0,False
500,0.4,0.08,0.22999999999999998,5000,0.8794,0.8700806030453243,0.8881368433262795,0.0,199.963,182.0,218.0,234.04158387140552,200.0,False
500,0.4,0.1,0.25,5000,0.9662,0.9608220944942647,0.970862073925455,0.0,199.9452,182.0,218.0,149.7866136776995,200.0,True
500,0.4,0.15,0.3,5000,0.9998,0.998867881829747,0.9999646951247276,0.0,200.0576,182.0,218.0,66.5718283011998,200.0,True
500,0.4,0.0,0.15,5000,0.0386,0.03360484048720849,0.04430362088375099,0.0,200.0888,182.0,218.0,,200.0,
500,0.4,-0.02,0.13,5000,0.0042,0.0027487533004756644,0.006412527903949351,0.0,200.0628,182.0,218.0,,200.0,
1000,0.02,0.01,0.16,5000,0.0388,0.03379147252038006,0.044516681758524385,0.0,20.0196,13.0,28.0,14978.661367769953,20.0,False
1000,0.02,0.02,0.16999999999999998,5000,0.0552,0.04920460920892601,0.06187836352146578,0.0,19.9,13.0,28.0,3744.6653419424883,20.0,False
1000,0.02,0.05,0.2,5000,0.115,0.10645119370593704,0.1241399585000001,0.0,19.9194,13.0,28.0,599.146454710798,20.0,False
1000,0.02,0.08,0.22999999999999998,5000,0.1856,0.17506627812913003,0.19661647058138068,0.0,20.0492,13.0,28.0,234.04158387140552,20.0,False
1000,0.02,0.1,0.25,5000,0.2546,0.24271634937420045,0.2668604525773242,0.0,20.008,13.0,28.0,149.7866136776995,20.0,False
1000,0.02,0.15,0.3,5000,0.4314,0.41772960537469866,0.44517572720017756,0.0,20.0722,13.0,28.0,66.5718283011998,20.0,False
1000,0.02,0.0,0.15,5000,0.0328,0.028210527541617497,0.03810683949893791,0.0,20.0088,13.0,27.0,,20.0,
1000,0.02,-0.02,0.13,5000,0.0132,0.010389403252556018,0.01675805880939255,0.0,19.8426,13.0,27.0,,20.0,
1000,0.05,0.01,0.16,5000,0.0488,0.04316669078972656,0.055126108886426266,0.0,50.0486,39.0,61.0,14978.661367769953,50.0,False
1000,0.05,0.02,0.16999999999999998,5000,0.0812,0.07394649514113477,0.08909655562210281,0.0,49.8266,39.0,61.0,3744.6653419424883,50.0,False
1000,0.05,0.05,0.2,5000,0.2068,0.19580082431465104,0.21824937263802632,0.0,49.8644,39.0,61.0,599.146454710798,50.0,False
1000,0.05,0.08,0.22999999999999998,5000,0.3814,0.3680321537457128,0.3949499518429214,0.0,49.9228,39.0,61.0,234.04158387140552,50.0,False
1000,0.05,0.1,0.25,5000,0.5156,0.5017407910861146,0.5294352557335927,0.0,50.0742,39.0,62.0,149.7866136776995,50.0,False
1000,0.05,0.15,0.3,5000,0.7836,0.771970339229363,0.7947942042366013,0.0,50.0052,39.0,62.0,66.5718283011998,50.0,False
1000,0.05,0.0,0.15,5000,0.0342,0.029509214219829064,0.03960600317634112,0.0,49.9364,39.0,61.0,,50.0,
1000,0.05,-0.02,0.13,5000,0.0144,0.011450896966502703,0.018094722543115668,0.0,49.8952,39.0,61.0,,50.0,
1000,0.1,0.01,0.16,5000,0.069,0.062300407664844036,0.07636137571375051,0.0,100.2508,85.0,116.0,14978.661367769953,100.0,False
1000,0.1,0.02,0.16999999999999998,5000,0.116,0.10741713800247109,0.12517247874319087,0.0,99.9488,85.0,116.0,3744.6653419424883,100.0,False
1000,0.1,0.05,0.2,5000,0.3456,0.332541117815812,0.35889595725067297,0.0,100.1668,85.0,116.0,599.146454710798,100.0,False
1000,0.1,0.08,0.22999999999999998,5000,0.623,0.6094770003072651,0.63633413807889,0.0,99.9064,85.0,116.0,234.04158387140552,100.0,False
1000,0.1,0.1,0.25,5000,0.7794,0.7676943611628184,0.7906766312363014,0.0,100.0578,85.0,115.0,149.7866136776995,100.0,False
1000,0.1,0.15,0.3,5000,0.9742,0.9694281148290672,0.9782437699084513,0.0,99.8582,84.0,116.0,66.5718283011998,100.0,True
1000,0.1,0.0,0.15,5000,0.0418,0.03659538520665388,0.04770816269142507,0.0,100.211,85.0,116.0,,100.0,
1000,0.1,-0.02,0.13,5000,0.0092,0.006904702346799829,0.012248901556249381,0.0,100.119,85.0,116.0,,100.0,
1000,0.2,0.01,0.16,5000,0.1004,0.09237399550187989,0.10903957442407461,0.0,200.1142,179.0,222.0,14978.661367769953,200.0,False
1000,0.2,0.02,0.16999999999999998,5000,0.1774,0.16706014803975935,0.18823519144500775,0.0,200.0032,179.0,221.0,3744.6653419424883,200.0,False
1000,0.2,0.05,0.2,5000,0.5568,0.5429920348140989,0.5705207510422718,0.0,200.0154,179.0,222.0,599.146454710798,200.0,False
1000,0.2,0.08,0.22999999999999998,5000,0.8794,0.8700806030453243,0.8881368433262795,0.0,199.879,179.0,221.0,234.04158387140552,200.0,False
1000,0.2,0.1,0.25,5000,0.9692,0.9640389949969586,0.9736405670419357,0.0,200.3618,180.0,221.0,149.7866136776995,200.0,True
1000,0.2,0.15,0.3,5000,0.9996,0.9985425830322826,0.9998903010142469,0.0,199.7382,180.0,221.0,66.5718283011998,200.0,True
1000,0.2,0.0,0.15,5000,0.04,0.034912057045320966,0.04579425468125328,0.0,200.1104,180.0,221.0,,200.0,
1000,0.2,-0.02,0.13,5000,0.0048,0.00322775763196324,0.007132602296296678,0.0,199.7566,179.0,221.0,,200.0,
1000,0.4,0.01,0.16,5000,0.1222,0.11341060134796016,0.13156949554399583,0.0,400.1818,375.0,426.0,14978.661367769953,400.0,False
1000,0.4,0.02,0.16999999999999998,5000,0.2814,0.26910692783674883,0.2940287237794015,0.0,399.9188,375.0,425.0,3744.6653419424883,400.0,False
1000,0.4,0.05,0.2,5000,0.8308,0.8201544340390613,0.8409376357019153,0.0,399.844,374.0,425.0,599.146454710798,400.0,False
1000,0.4,0.08,0.22999999999999998,5000,0.9918,0.9888953126285139,0.9939495480081618,0.0,400.1574,375.0,425.0,234.04158387140552,400.0,True
1000,0.4,0.1,0.25,5000,0.9996,0.9985425830322826,0.9998903010142469,0.0,400.2518,375.0,426.0,149.7866136776995,400.0,True
1000,0.4,0.15,0.3,5000,1.0,0.9992322698624194,1.0,0.0,399.7206,374.0,426.0,66.5718283011998,400.0,True
1000,0.4,0.0,0.15,5000,0.0488,0.04316669078972656,0.055126108886426266,0.0,400.083,375.0,425.0,,400.0,
1000,0.4,-0.02,0.13,5000,0.0012,0.0005500756587335479,0.002615811926516952,0.0,399.8442,374.0,426.0,,400.0,
2500,0.02,0.01,0.16,5000,0.0554,0.04939369774094005,0.0620889678973967,0.0,49.948,39.0,62.0,14978.661367769953,50.0,False
2500,0.02,0.02,0.16999999999999998,5000,0.0838,0.07643535426802546,0.0918037042984967,0.0,50.0116,39.0,62.0,3744.6653419424883,50.0,False
