cell,dataset,policy,train_seed,score,alpha,delta,n_eval,n_test,mean_R_pool_at_lambda,mean_margin,mean_SE_test,predicted_violation,observed_violation,observed_lo,observed_hi,abs_diff,gate
mnist/eps_greedy_eps0.25/ts0,mnist,eps_greedy_eps0.25,0,softmax,0.15,0.1,25200,12600,0.14197420634920632,0.008025793650793638,0.0031091164567287385,0.03596284715368601,0.11,0.06254131955225126,0.18631463027903022,0.07403715284631399,FAIL
mnist/eps_greedy_eps0.5/ts0,mnist,eps_greedy_eps0.5,0,softmax,0.15,0.1,25200,12600,0.14160634920634924,0.008393650793650786,0.0031057877882798932,0.030142371066272437,0.14,0.08526265754464905,0.22137360383807236,0.10985762893372758,FAIL
mnist/greedy_entropy/ts0,mnist,greedy_entropy,0,softmax,0.15,0.1,25200,12600,0.14145158730158733,0.00854841269841269,0.0031043880437820726,0.013852902404979876,0.02,0.005501852234968185,0.07001316294199365,0.006147097595020124,PASS
mnist/greedy_entropy/ts0[margin],mnist,greedy_entropy,0,margin,0.15,0.1,25200,12600,0.14222738095238094,0.007772619047619045,0.003111457744390922,0.028081314269273586,0.01,0.0017673865655472645,0.0544875247609346,0.018081314269273584,PASS
mnist/random/ts0,mnist,random,0,softmax,0.15,0.1,25200,12600,0.14166031746031743,0.008339682539682538,0.003106303723622726,0.014702264298014422,0.0,0.0,0.03699480747600191,0.014702264298014422,PASS
mnist/greedy_entropy/ts1,mnist,greedy_entropy,1,softmax,0.2,0.1,25200,12600,0.19057658730158736,0.009423412698412723,0.003498688440717004,0.01698912369684437,0.01,0.0017673865655472645,0.0544875247609346,0.0069891236968443685,PASS
mnist/random/ts1,mnist,random,1,softmax,0.2,0.1,25200,12600,0.19097619047619055,0.009023809523809533,0.0035015501238337653,0.033834533452192915,0.06,0.02778574526665662,0.12476968531222507,0.026165466547807083,FAIL
mnist/greedy_entropy/ts2,mnist,greedy_entropy,2,softmax,0.15,0.1,25200,12600,0.13823095238095232,0.011769047619047618,0.0030746166019191717,0.014726512874601558,0.06,0.02778574526665662,0.12476968531222507,0.04527348712539844,FAIL
mnist/random/ts2,mnist,random,2,softmax,0.15,0.1,25200,12600,0.14140515873015871,0.008594841269841261,0.00310392914297397,0.02016646298478878,0.01,0.0017673865655472645,0.0544875247609346,0.010166462984788781,PASS
tabular-MiniBooNE/eps_greedy_eps0.25/ts0,tabular-MiniBooNE,eps_greedy_eps0.25,0,softmax,0.15,0.1,46823,23411,0.14302244623368854,0.006977553766311435,0.002288059305979581,0.017645854411022923,0.08,0.04109296948581091,0.14998266879403072,0.062354145588977075,FAIL
tabular-MiniBooNE/eps_greedy_eps0.5/ts0,tabular-MiniBooNE,eps_greedy_eps0.5,0,softmax,0.15,0.1,46823,23411,0.14175127608226726,0.008248723917732736,0.0022795975871958765,0.00017317420062434657,0.0,0.0,0.03699480747600191,0.00017317420062434657,PASS
tabular-MiniBooNE/greedy_entropy/ts0,tabular-MiniBooNE,greedy_entropy,0,softmax,0.15,0.1,46823,23411,0.13256305661747428,0.017436943382525688,0.0022162575568545157,1.8054918088889515e-15,0.0,0.0,0.03699480747600191,1.8054918088889515e-15,PASS
tabular-MiniBooNE/greedy_entropy/ts0[margin],tabular-MiniBooNE,greedy_entropy,0,margin,0.15,0.1,46823,23411,0.13256305661747428,0.017436943382525688,0.0022162575568545157,1.8054918088889515e-15,0.0,0.0,0.03699480747600191,1.8054918088889515e-15,PASS
tabular-MiniBooNE/random/ts0,tabular-MiniBooNE,random,0,softmax,0.15,0.1,46823,23411,0.1432432778762574,0.006756722123742604,0.0022894370848452516,0.008501197350827943,0.0,0.0,0.03699480747600191,0.008501197350827943,PASS
tabular-MiniBooNE/greedy_entropy/ts1,tabular-MiniBooNE,greedy_entropy,1,softmax,0.15,0.1,46823,23411,0.1426606582235226,0.007339341776477375,0.0022855510534762822,0.025556896412093345,0.05,0.02154336145631356,0.11175196527208817,0.024443103587906658,FAIL
tabular-MiniBooNE/random/ts1,tabular-MiniBooNE,random,1,softmax,0.15,0.1,46823,23411,0.14289985690792992,0.0071001430920701325,0.0022871091674315784,0.012603610644692429,0.0,0.0,0.03699480747600191,0.012603610644692429,PASS
tabular-MiniBooNE/greedy_entropy/ts2,tabular-MiniBooNE,greedy_entropy,2,softmax,0.15,0.1,46823,23411,0.13954680392114982,0.010453196078850117,0.002264715177591491,1.9590700072807975e-06,0.0,0.0,0.03699480747600191,1.9590700072807975e-06,PASS
tabular-MiniBooNE/random/ts2,tabular-MiniBooNE,random,2,softmax,0.15,0.1,46823,23411,0.14291267112316597,0.007087328876834036,0.002287238406244422,0.02055478051908212,0.0,0.0,0.03699480747600191,0.02055478051908212,PASS
tabular-adult/eps_greedy_eps0.25/ts0,tabular-adult,eps_greedy_eps0.25,0,softmax,0.2,0.1,16280,8140,0.1652948402948403,0.03470515970515972,0.004117029654706487,1.7333566735000505e-17,0.0,0.0,0.03699480747600191,1.7333566735000505e-17,PASS
tabular-adult/eps_greedy_eps0.5/ts0,tabular-adult,eps_greedy_eps0.5,0,softmax,0.2,0.1,16280,8140,0.17168304668304665,0.028316953316953324,0.004179744918987009,6.228743972526173e-12,0.0,0.0,0.03699480747600191,6.228743972526173e-12,PASS
tabular-adult/greedy_entropy/ts0,tabular-adult,greedy_entropy,0,softmax,0.2,0.1,16280,8140,0.16124078624078628,0.038759213759213755,0.004076091299483455,9.632889407834987e-22,0.0,0.0,0.03699480747600191,9.632889407834987e-22,PASS
tabular-adult/greedy_entropy/ts0[margin],tabular-adult,greedy_entropy,0,margin,0.2,0.1,16280,8140,0.1611793611793612,0.03882063882063882,0.004075464048722458,8.216230175735647e-22,0.0,0.0,0.03699480747600191,8.216230175735647e-22,PASS
tabular-adult/random/ts0,tabular-adult,random,0,softmax,0.2,0.1,16280,8140,0.18298525798525803,0.01701474201474201,0.004285591730411315,3.590314830814087e-05,0.0,0.0,0.03699480747600191,3.590314830814087e-05,PASS
tabular-adult/greedy_entropy/ts1,tabular-adult,greedy_entropy,1,softmax,0.25,0.1,16280,8140,0.1644348894348895,0.08556511056511053,0.004108420916717518,1.2382033505175545e-96,0.0,0.0,0.03699480747600191,1.2382033505175545e-96,PASS
tabular-adult/random/ts1,tabular-adult,random,1,softmax,0.25,0.1,16280,8140,0.20214987714987717,0.04785012285012284,0.004451282899278166,2.971524337157822e-27,0.0,0.0,0.03699480747600191,2.971524337157822e-27,PASS
tabular-adult/greedy_entropy/ts2,tabular-adult,greedy_entropy,2,softmax,0.2,0.1,16280,8140,0.18654791154791148,0.013452088452088461,0.004316900375284509,0.01910311123271721,0.01,0.0017673865655472645,0.0544875247609346,0.009103111232717209,PASS
tabular-adult/random/ts2,tabular-adult,random,2,softmax,0.2,0.1,16280,8140,0.18747297297297294,0.012527027027027042,0.0043258691753866214,0.002122048426663494,0.0,0.0,0.03699480747600191,0.002122048426663494,PASS
tabular-spambase/eps_greedy_eps0.25/ts0,tabular-spambase,eps_greedy_eps0.25,0,softmax,0.15,0.1,1656,828,0.1257910628019324,0.02420893719806762,0.01151616327935098,0.04633516347816979,0.09,0.04807199516388488,0.16226374696643667,0.04366483652183021,FAIL
tabular-spambase/eps_greedy_eps0.5/ts0,tabular-spambase,eps_greedy_eps0.5,0,softmax,0.15,0.1,1656,828,0.1245772946859903,0.025422705314009655,0.011469095835841055,0.03397853170150946,0.05,0.02154336145631356,0.11175196527208817,0.016021468298490542,FAIL
tabular-spambase/greedy_entropy/ts0,tabular-spambase,greedy_entropy,0,softmax,0.15,0.1,1656,828,0.12519323671497584,0.02480676328502415,0.011495091857076084,0.032819394197330404,0.03,0.010254338223414816,0.08452078080402699,0.002819394197330405,PASS
tabular-spambase/random/ts0,tabular-spambase,random,0,softmax,0.15,0.1,1656,828,0.12475241545893717,0.025247584541062806,0.011475380879061352,0.04095029798879681,0.11,0.06254131955225126,0.18631463027903022,0.0690497020112032,FAIL
tabular-spambase/greedy_entropy/ts1,tabular-spambase,greedy_entropy,1,softmax,0.15,0.1,1656,828,0.1232427536231884,0.02675724637681159,0.011413838298475788,0.037929885158924426,0.1,0.05522854161313613,0.1743673043676654,0.06207011484107558,FAIL
tabular-spambase/random/ts1,tabular-spambase,random,1,softmax,0.15,0.1,1656,828,0.1246316425120773,0.0253683574879227,0.011469372075878653,0.040214574492886276,0.06,0.02778574526665662,0.12476968531222507,0.01978542550711372,FAIL
tabular-spambase/greedy_entropy/ts2,tabular-spambase,greedy_entropy,2,softmax,0.15,0.1,1656,828,0.12330314009661836,0.026696859903381633,0.011417217505485279,0.03134110634859249,0.03,0.010254338223414816,0.08452078080402699,0.0013411063485924898,PASS
tabular-spambase/random/ts2,tabular-spambase,random,2,softmax,0.15,0.1,1656,828,0.1222403381642512,0.027759661835748784,0.011377978902428233,0.019942383956948584,0.01,0.0017673865655472645,0.0544875247609346,0.009942383956948584,PASS
